一《いち》 | #090 こく》(UK)の一《いち》地域《ちいき》。
体温計《たいおんけい》 | #173 体温計《たいおんけい》
体重《たいじゅう》 | #011 体重《たいじゅう》
何十回《なんじゅっかい》 | #289 日《ついたち》に何十回《なんじゅっかい》も言《い》ってく
何十年《なんじゅうねん》 | #068 cades = 何十年《なんじゅうねん》も。
余計《よけい》 | #156 がお》だったのが余計《よけい》におかしかった。
作り上《つくりあ》 | #016 《ちょうこく》を｜作り上《つくりあ》げていた。
作法《さほう》 | #169 事《しょくじ》の作法《さほう》。複数形《ふくす
作者《さくしゃ》 | #253 うかい》されない作者《さくしゃ》のスケッチまで<
供《そな》 | #067 福《だいふく》を供《そな》えるたび、一緒《
依頼人《いらいにん》 | #159 無実《むじつ》の依頼人《いらいにん》を堂々《どうどう
保存《ほぞん》 | #215 保存《ほぞん》する
信条《しんじょう》 | #148 《つらぬ》くのが信条《しんじょう》だという。
修理《しゅうり》 | #073 修理《しゅうり》する
個展《こてん》 | #016 個展《こてん》を開《ひら》いた
個性《こせい》 | #281 うげん》するかで個性《こせい》が出《で》た。
候補《こうほ》 | #243 00人《にん》の候補《こうほ》から選《えら》ば
値切《ねぎ》 | #197 値切《ねぎ》った
停滞《ていたい》 | #135 停滞《ていたい》する
偽《いつわ》 | #288 偽《いつわ》りの
像《ぞう》 | #267 像《ぞう》
僕《ぼく》 | #208 ういたしまして、僕《ぼく》の<pleasu
億円《おくえん》 | #223 たから》くじで1億円《おくえん》当《あ》たる夢《
優勝候補《ゆうしょうこうほ》 | #023 《せんとう》は、優勝候補《ゆうしょうこうほ》の3年《ねん》A
優勝者《ゆうしょうしゃ》 | #042 優勝者《ゆうしょうしゃ》
元日《がんじつ》 | #050 <coach>は元日《がんじつ》本代《ほんだい》
充電《じゅうでん》 | #056 充電《じゅうでん》
先頭《せんとう》 | #023 進《こうしん》の先頭《せんとう》は、優勝候補《ゆ
克服《こくふく》 | #255 少《すこ》しずつ克服《こくふく》していった。
入賞《にゅうしょう》 | #116 ちょうせん》して入賞《にゅうしょう》した。来年《らい
全体的《ぜんたいてき》 | #092 全体的《ぜんたいてき》に
全国大会《ぜんこくたいかい》 | #134 ねんせい》ながら全国大会《ぜんこくたいかい》で堂々《どうどう
全治《ぜんち》 | #137 jure>して、全治《ぜんち》2週間《しゅうか
全額《ぜんがく》 | #021 玉《としだま》を全額《ぜんがく》<bank>に預
公平《こうへい》 | #292 )+ fair(公平《こうへい》な)。
公正《こうせい》 | #148 just(公正《こうせい》な)の名詞《めい
公演《こうえん》 | #203 ormance(公演《こうえん》)の動詞形《どう
公開《こうかい》 | #176 動画《どうが》は公開《こうかい》から3日《にち》
内気《うちき》 | #254 内気《うちき》な
内部《ないぶ》 | #022 内部《ないぶ》
再利用《さいりよう》 | #233 再利用《さいりよう》する
再現《さいげん》 | #277 作《つく》っても再現《さいげん》できない。長年《
再生利用《さいせいりよう》 | #226 再生利用《さいせいりよう》する
冬眠《とうみん》 | #275 冬眠《とうみん》する
冷凍食品《れいとうしょくひん》 | #241 スーパーの冷凍食品《れいとうしょくひん》の<sectio
出前《でまえ》 | #217 fessor>が出前《でまえ》授業《じゅぎょう
出展《しゅってん》 | #180 《ぶんかさい》に出展《しゅってん》した。
出席率《しゅっせきりつ》 | #194 出席率《しゅっせきりつ》
出張《しゅっちょう》 | #034 分《はんぶん》を出張《しゅっちょう》で過《す》ごす。
出発前《しゅっぱつまえ》 | #187 と、ガイドさんが出発前《しゅっぱつまえ》に念《ねん》を押
刀剣《とうけん》 | #186 土偶《どぐう》や刀剣《とうけん》が実物《じつぶつ
分担《ぶんたん》 | #279 仕上《しあ》げの分担《ぶんたん》が見事《みごと》
分類《ぶんるい》 | #158 仲間《なかま》に分類《ぶんるい》されるので、原則
切り離《きりはな》 | #055 ｜切り離《きりはな》す
初《はつ》 | #161 、創部《そうぶ》初《はつ》の決勝進出《けっ
初心者《しょしんしゃ》 | #094 eginner(初心者《しょしんしゃ》)の対《つい》。
初戦《しょせん》 | #285 目指《めざ》して初戦《しょせん》から全力《ぜんり
初版《しょはん》 | #310 、私《わたし》も初版《しょはん》を手《て》に入《
判断《はんだん》 | #146 《どうし》では「判断《はんだん》する」。
別世界《べっせかい》 | #201 。今《いま》とは別世界《べっせかい》だ。
別人《べつじん》 | #086 自分《じぶん》は別人《べつじん》のようだ。
利子《りし》 | #140 の元《もと》。「利子《りし》」の意味《いみ》
利息《りそく》 | #021 ると、わずかだが利息《りそく》がついていた。
利益《りえき》 | #148 利益《りえき》
削除《さくじょ》 | #215 削除《さくじょ》する
剥《は》 | #226 ら》ってラベルを剥《は》がせば<recy
割《さ》 | #295 いたマグカップを割《さ》ってしまい、しば
創《つく》 | #063 create(創《つく》る)の名詞《めい
創造力《そうぞうりょく》 | #063 創造力《そうぞうりょく》
創部《そうぶ》 | #161 を<led>し、創部《そうぶ》初《はつ》の決勝
力士《りきし》 | #182 相撲《すもう》の力士《りきし》も多《おお》い。
助言《じょげん》 | #009 advise(助言《じょげん》する)は動詞《ど
励《はげ》 | #060 courage(励《はげ》ます)の中《なか
労《ろう》 | #143 すいように、まず労《ろう》いの言葉《ことば
動揺《どうよう》 | #295 動揺《どうよう》した
勘《かん》 | #277 年《ながねん》の勘《かん》が隠《かく》し味
勝利《しょうり》 | #041 勝利《しょうり》
募金《ぼきん》 | #197 20円《えん》を募金《ぼきん》箱《はこ》に入《
勤め先《つとめさき》 | #126 ｜勤め先《つとめさき》
包帯《ほうたい》 | #173 包帯《ほうたい》
北西《ほくせい》 | #264 北西《ほくせい》の
区画《くかく》 | #241 区画《くかく》
医学《いがく》 | #089 医学《いがく》
千羽《せんば》 | #062 千羽《せんば》の折《お》り<c
半球《はんきゅう》 | #075 半球《はんきゅう》形《かたち》の屋
半紙《はんし》 | #035 含《ふく》ませ、半紙《はんし》に「夢《ゆめ》」
卒業生《そつぎょうせい》 | #297 おうえんせき》の卒業生《そつぎょうせい》まで肩《かた》を
卒業証書《そつぎょうしょうしょ》 | #214 ひとり》ひとりに卒業証書《そつぎょうしょうしょ》を手渡《てわた》
卓上《たくじょう》 | #155 卓上《たくじょう》の照明《しょうめ
南東《なんとう》 | #264 南東《なんとう》の
南極《なんきょく》 | #264 南極《なんきょく》の
南西《なんせい》 | #265 は、ヨーロッパの南西《なんせい》に位置《いち》す
単純《たんじゅん》 | #257 単純《たんじゅん》な
単語帳《たんごちょう》 | #178 ホームのベンチで単語帳《たんごちょう》を開《ひら》いた
印刷《いんさつ》 | #215 印刷《いんさつ》する
印刷機《いんさつき》 | #215 inter = 印刷機《いんさつき》。
印象的《いんしょうてき》 | #125 。最《もっと》も印象的《いんしょうてき》な場面《ばめん》
原則《げんそく》 | #158 い》されるので、原則《げんそく》として車道《しゃ
原子《げんし》 | #018 atom(原子《げんし》)+ -ic。a
原爆《げんばく》 | #018  bomb = 原爆《げんばく》。
原稿用紙《げんこうようし》 | #102 nish>した。原稿用紙《げんこうようし》5枚《まい》を埋
厳《いかめ》 | #169 >に少《すこ》し厳《いかめ》しい。
参加者全員《さんかしゃぜんいん》 | #303 参加者全員《さんかしゃぜんいん》
友情《ゆうじょう》 | #110 友情《ゆうじょう》
反則《はんそく》 | #008 反則《はんそく》
反対方向《はんたいほうこう》 | #311 車《でんしゃ》を反対方向《はんたいほうこう》に乗《の》ってし
反発《はんぱつ》 | #221 か》えたガットは反発《はんぱつ》が良《よ》く、同
取り付《とりつ》 | #038 arport>を｜取り付《とりつ》けた。
取引先《とりひきさき》 | #034 》へ行《い》き、取引先《とりひきさき》と新《あたら》し
受賞《じゅしょう》 | #071 く》の賞《ほ》も受賞《じゅしょう》したらしい。
口癖《くちぐせ》 | #183 口癖《くちぐせ》の悪口《わるくち
古本屋《ふるほんや》 | #244 30冊《さつ》を古本屋《ふるほんや》に<sell>し
可能《かのう》 | #133 ossible(可能《かのう》な)。
台本《だいほん》 | #059 台本《だいほん》
右隅《みぎすみ》 | #213 いせい》にゴール右隅《みぎすみ》へ蹴《け》り込《
司会者《しかいしゃ》 | #094 司会者《しかいしゃ》
各国《かっこく》 | #141 で、街《まち》は各国《かっこく》の言葉《ことば》
合宿《がっしゅく》 | #218 この合宿《がっしゅく》の<purpos
合戦《かっせん》 | #171 応援《おうえん》合戦《かっせん》
合理的《ごうりてき》 | #292 合理的《ごうりてき》な
合言葉《あいことば》 | #267 《わたし》たちの合言葉《あいことば》だ。
同学年《どうがくねん》 | #116 年《らいねん》は同学年《どうがくねん》の部《ぶ》で優勝
名門《めいもん》 | #003 ら集《あつ》まる名門《めいもん》だ。
否定的《ひていてき》 | #210 egative(否定的《ひていてき》な)の対《つい》
吸《す》 | #061 で》でスポンジで吸《す》い取《と》ってか
味覚《みかく》 | #277 五感《ごかん》の味覚《みかく》。taste g
和《なご》 | #131 人《にん》を和《なご》ませる面白《おも
員《いん》 | #310 書店《しょてん》員《いん》
商品《しょうひん》 | #053 と、同《おな》じ商品《しょうひん》でも値段《ねだん
商品券《しょうひんけん》 | #181 商品券《しょうひんけん》だけ
商業《しょうぎょう》 | #174 商業《しょうぎょう》の
問《と》 | #211 le>か」という問《と》いに、科学者《か
喜劇《きげき》 | #286 comedy(喜劇《きげき》)の対《つい》。
喫茶店《きっさてん》 | #247 《ぶんかさい》の喫茶店《きっさてん》で、私《わたし》
営業《えいぎょう》 | #284 営業《えいぎょう》
嗅《きゅう》 | #123 嗅《きゅう》いだ
嗅覚《きゅうかく》 | #263 五感《ごかん》の嗅覚《きゅうかく》。smell g
嘘《うそ》 | #163 a lie = 嘘《うそ》をつく。「横《よ
噴水《ふんすい》 | #267 噴水《ふんすい》
回復《かいふく》 | #256 kness>から回復《かいふく》した先生《せんせ
困難《こんなん》 | #074 困難《こんなん》
国々《くにぐに》 | #264 ern>アジアの国々《くにぐに》は、一年《いちね
国体《こくたい》 | #191 国体《こくたい》
国内《こくない》 | #002 国内《こくない》で
国土《こくど》 | #149 道《せきどう》が国土《こくど》を横切《よこぎ》
国境《こっきょう》 | #029 国境《こっきょう》
国宝《こくほう》 | #186 載《の》っている国宝《こくほう》の土偶《どぐう》
国旗《こっき》 | #029 《りょうごく》の国旗《こっき》が並《なら》んで
国立《こくりつ》 | #186 国立《こくりつ》の
国連《こくれん》 | #296 国連《こくれん》
国際《こくさい》 | #054 が集《あつ》まる国際《こくさい》<confere
国際的《こくさいてき》 | #141 国際的《こくさいてき》な
土俵《どひょう》 | #061 土俵《どひょう》
土偶《どぐう》 | #186 宝《こくほう》の土偶《どぐう》や刀剣《とうけん
土台《どだい》 | #022 大《きょだい》な土台《どだい》が4500年間《
在庫《ざいこ》 | #250 店頭《てんとう》在庫《ざいこ》を3冊《さつ》買
地中《ちちゅう》 | #014 線《でんせん》も地中《ちちゅう》に埋《う》められ
地元紙《じもとし》 | #252 ストゴールとして地元紙《じもとし》にも写真《しゃし
地声《じごえ》 | #258 》を開《ひら》け地声《じごえ》で授業《じゅぎょ
地道《ぢみち》 | #084 を覚《おぼ》える地道《ぢみち》な<effort
城下町《じょうかまち》 | #039 で登《のぼ》ると城下町《じょうかまち》が一望《いちぼう
基礎的《きそてき》 | #022 basic(基礎的《きそてき》な)の元《もと》
基礎練習《きそれんしゅう》 | #050 《せんしゅ》で、基礎練習《きそれんしゅう》の質《しつ》がま
堤防《ていぼう》 | #073 晩《ひとばん》で堤防《ていぼう》を<destro
報告書《ほうこくしょ》 | #231 報告書《ほうこくしょ》
塀《へい》 | #111 塀《へい》
塊《かい》 | #235 から雪《ゆき》の塊《かい》がドサッと落《お
塔《とう》 | #108 エッフェル塔《とう》とルーブル美術館
塾講師《じゅくこうし》 | #217 塾講師《じゅくこうし》
境目《さかいめ》 | #029 地域《ちいき》の境目《さかいめ》。
墨《すみ》 | #035 筆《ふで》に墨《すみ》をたっぷり含《ふ
壁画《へきが》 | #279 巨大《きょだい》壁画《へきが》は、下絵《したえ
声量《せいりょう》 | #146 《せんせい》で、声量《せいりょう》・音程《おんてい
売却《ばいきゃく》 | #233 売却《ばいきゃく》する
外《はず》 | #213 にん》目《め》。外《はず》せば敗退《はいた
外交《がいこう》 | #296 済《けいざい》や外交《がいこう》に影響《えいきょ
外交官《がいこうかん》 | #228 外交官《がいこうかん》
外見《がいけん》 | #194 外見《がいけん》
大勢《おおぜい》 | #097 ない人《にん》が大勢《おおぜい》いた。
大好物《だいこうぶつ》 | #092 y>桃《もも》が大好物《だいこうぶつ》で、旬《じゅん》
大福《だいふく》 | #067 こうぶつ》だった大福《だいふく》を供《そな》える
大笑《おおわら》 | #145 の<joke>で大笑《おおわら》いに包《つつ》ま
大統領選挙《だいとうりょうせんきょ》 | #296 <U.S.>の大統領選挙《だいとうりょうせんきょ》は4年《ねん》に
大胆《だいたん》 | #255 大胆《だいたん》さ
大草原《だいそうげん》 | #182 大草原《だいそうげん》と遊牧《ゆうぼく
大規模《だいきぼ》 | #054 eting より大規模《だいきぼ》で公式《こうしき
大金持《おおがねもち》 | #176 naire = 大金持《おおがねもち》ち。billio
大雪《おおゆき》 | #235 大雪《おおゆき》の朝《あさ》、<
天守閣《てんしゅかく》 | #039 astle>は、天守閣《てんしゅかく》まで登《のぼ》る
失《な》 | #245 失《な》くした
失望《しつぼう》 | #134 失望《しつぼう》させる
契約《けいやく》 | #034 新《あたら》しい契約《けいやく》を結《むす》んで
奪《うば》 | #150 命《せいめい》を奪《うば》うこと。time
奮闘《ふんとう》 | #271 奮闘《ふんとう》する
女神像《めがみぞう》 | #267 自由《じゆう》の女神像《めがみぞう》。
好物《こうぶつ》 | #067 壇《ぶつだん》に好物《こうぶつ》だった大福《だい
委員長《いいんちょう》 | #004 委員長《いいんちょう》への推薦《すいせ
姫路《ひめじ》 | #039 美《うつく》しい姫路《ひめじ》の<castle
姿勢《しせい》 | #268 ん》同《おな》じ姿勢《しせい》で勉強《べんきょ
婚約《こんやく》 | #170 婚約《こんやく》だけする
嫌々《いやいや》 | #046 嫌々《いやいや》
字幕《じまく》 | #153 、今《いま》では字幕《じまく》なしでセリフを聞
学問分野《がくもんぶんや》 | #089 技師《ぎし》)の学問分野《がくもんぶんや》。
学園祭《がくえんさい》 | #294 ersity>の学園祭《がくえんさい》に行《い》くと、
学院《がくいん》 | #003 学院《がくいん》
完走《かんそう》 | #041 フルマラソン完走《かんそう》という大《おお》
定《さだ》 | #158 国《くに》が定《さだ》めるルール。la
実感《じっかん》 | #052 《こうりゅう》で実感《じっかん》した。
実業家《じつぎょうか》 | #016 実業家《じつぎょうか》
実演《じつえん》 | #217 きゅう》について実演《じつえん》を交《まじ》えて
実物《じつぶつ》 | #018 がい》について、実物《じつぶつ》の遺品《いひん》
実現《じつげん》 | #224 「夢《ゆめ》を実現《じつげん》する」の意味《い
室《しつ》 | #114 音楽《おんがく》室《しつ》に貼《は》ってあ
宮殿《きゅうでん》 | #039 宮殿《きゅうでん》の庭《にわ》
害虫《がいちゅう》 | #150 薬《のうやく》は害虫《がいちゅう》を<kill>す
寄付《きふ》 | #244 寄付《きふ》する
寝不足《ねぶそく》 | #127 寝不足《ねぶそく》の
寝転《ねころ》 | #040 寝転《ねころ》がって見上《みあ
寝間着《ねまき》 | #293 寝間着《ねまき》
審査員《しんさいん》 | #134 《かのじょ》は、審査員《しんさいん》全員《ぜんいん》
寺院《じいん》 | #280 《ぶっきょう》の寺院《じいん》。神社《じんじゃ
対等《たいとう》 | #011 さ》すときだけは対等《たいとう》なライバルだ。
対面《たいめん》 | #142 見《み》る)= 対面《たいめん》で話《はなし》を
専門分野《せんもんぶんや》 | #003 専門分野《せんもんぶんや》を学《まな》ぶ学
専門学校《せんもんがっこう》 | #294 専門学校《せんもんがっこう》
将棋《しょうぎ》 | #011 な》れているが、将棋《しょうぎ》を指《さ》すとき
導《みちび》 | #160 導《みちび》く
小包《こづつみ》 | #212 小包《こづつみ》
小物《こもの》 | #233 ペン立《た》てや小物《こもの》入《い》れとして
小舟《こぶね》 | #027 小舟《こぶね》
小説家《しょうせつか》 | #310 elist = 小説家《しょうせつか》。
尻《しり》 | #259 《しゅんかん》に尻《しり》もちをついた。
尽《つ》 | #020 ムに礼《れい》を尽《つ》くし、審判《しん
尾《お》 | #276 物《どうぶつ》の尾《お》。
屋根付《やねづけ》 | #038 壁《かべ》のない屋根付《やねづけ》き駐車《ちゅうし
展望台《てんぼうだい》 | #242 この展望台《てんぼうだい》からは、晴《は》
展覧会《てんらんかい》 | #054 展覧会《てんらんかい》
展開《てんかい》 | #139 ntense>な展開《てんかい》で、応援席《おう
山小屋《やまごや》 | #103 山小屋《やまごや》の<firepl
山脈《さんみゃく》 | #029 山脈《さんみゃく》
川岸《かわぎし》 | #021 「土手《どて》・川岸《かわぎし》」の意味《いみ》
川沿《かわぞ》 | #073 stroy>し、川沿《かわぞ》いの畑《はたけ》
工学《こうがく》 | #089 工学《こうがく》
工期《こうき》 | #071 工期《こうき》
左側《ひだりがわ》 | #158 道《しゃどう》の左側《ひだりがわ》を走《はし》らな
左官《さかん》 | #037 左官《さかん》
巨大《きょだい》 | #022 うけい》で、この巨大《きょだい》な土台《どだい》
市内《しない》 | #196 市内《しない》へ
市立《しりつ》 | #186 市立《しりつ》の
市販《しはん》 | #147 のこ》っていて、市販《しはん》のものとは香《か
帰国《きこく》 | #130 年《ねん》ぶりに帰国《きこく》した姉《あね》を
常夏《とこなつ》 | #207 《みなみ》にある常夏《とこなつ》の国《くに》で、
幕《まく》 | #272 で、アンコールの幕《まく》まで上《あ》がっ
平野《へいや》 | #302 オランダの平野《へいや》には、羽根《はね
年寄《としよ》 | #078 《の》ってくるお年寄《としよ》り一人《ひとり》
年輪《ねんりん》 | #307 >でできていて、年輪《ねんりん》を数《かぞ》える
店主《てんしゅ》 | #142 、パン屋《や》の店主《てんしゅ》に30分《ふん》
店先《みせさき》 | #048 うかがい》では、店先《みせさき》から<Chine
店頭《てんとう》 | #250 大《おお》きく、店頭《てんとう》在庫《ざいこ》を
座右《ざゆう》 | #183 座右《ざゆう》の銘《めい》
座禅《ざぜん》 | #280 なが》めながら、座禅《ざぜん》の体験《たいけん
庭師《にわし》 | #013 庭師《にわし》
廃材《はいざい》 | #016 rtist>は、廃材《はいざい》だけを｜組み合《
廃棄《はいき》 | #233 廃棄《はいき》する
廃番《はいばん》 | #250 にっきちょう》が廃番《はいばん》になると知《し》
建築《けんちく》 | #013 tecture(建築《けんちく》)の人《にん》。
建設《けんせつ》 | #073 建設《けんせつ》する
弁論大会《べんろんたいかい》 | #195 がて》だったが、弁論大会《べんろんたいかい》への挑戦《ちょう
弁護《べんご》 | #159 々《どうどう》と弁護《べんご》した。
式《しき》 | #117 《そつぎょう》(式《しき》)。
引き受《ひきう》 | #004 最後《さいご》は｜引き受《ひきう》けることを<ac
引き当《ひきあ》 | #166 せんりょこう》を｜引き当《ひきあ》てた。今年《こと
引退《いんたい》 | #041 引退《いんたい》
引退前《いんたいまえ》 | #101 ゆうしょう》を、引退前《いんたいまえ》の最後《さいご》
弱々《よわよわ》 | #270 弱々《よわよわ》しく
弱点《じゃくてん》 | #008 弱点《じゃくてん》
強国《きょうこく》 | #149 マラソン強国《きょうこく》として知《し》ら
強盗《ごうとう》 | #015 よると、コンビニ強盗《ごうとう》の犯人《はんにん
当初《とうしょ》 | #074 学《りゅうがく》当初《とうしょ》は注文《ちゅうも
当選番号《とうせんばんごう》 | #303 《おく》られる。当選番号《とうせんばんごう》の｜読み上《よみ
彫刻《ちょうこく》 | #016 》さ3メートルの彫刻《ちょうこく》を｜作り上《つく
影響《えいきょう》 | #136 n ~ = 〜に影響《えいきょう》を与《あた》える
役《やく》 | #059 は魔女《まじょ》役《やく》の黒《くろ》いと
後ろ向《うしろむ》 | #210 ｜後ろ向《うしろむ》きな
後回《あとまわ》 | #271 後回《あとまわ》しにする
後方《こうほう》 | #240 が見《み》やすい後方《こうほう》の中央《ちゅうお
徐々《じょじょ》 | #273 徐々《じょじょ》に
循環《じゅんかん》 | #226 + cycle(循環《じゅんかん》)。
微笑《びしょう》 | #156 を出《だ》さない微笑《びしょう》。
必要性《ひつようせい》 | #187 ssity = 必要性《ひつようせい》。if nece
応募《おうぼ》 | #243 応募《おうぼ》する
応援団長《おうえんだんちょう》 | #050 応援団長《おうえんだんちょう》
応援席《おうえんせき》 | #139 《てんかい》で、応援席《おうえんせき》は最後《さいご》
応用問題《おうようもんだい》 | #271 ほうていしき》の応用問題《おうようもんだい》に30分《ふん》
思い出《おもいだ》 | #067 時間《じかん》を｜思い出《おもいだ》す。
思考《しこう》 | #282 思考《しこう》
急行《きゅうこう》 | #095 ひょうげん》。「急行《きゅうこう》」の意味《いみ》
性能《せいのう》 | #204 械《きかい》の「性能《せいのう》」の意味《いみ》
性質《せいしつ》 | #255 + -ness(性質《せいしつ》を表《あらわ》す
怪我《けが》 | #262 怪我《けが》
恋《こい》 | #127 家族《かぞく》が恋《こい》しくなること。
恋人《こいびと》 | #170 合《つきあ》った恋人《こいびと》と<marry>
恥《は》 | #087 恥《は》ずかしい
悪化《あっか》 | #135 悪化《あっか》する
悪口《わるくち》 | #183 癖《くちぐせ》の悪口《わるくち》
悲劇《ひげき》 | #286 悲劇《ひげき》
悼《いた》 | #174 《ぎせいしゃ》を悼《いた》む<memori
情熱《じょうねつ》 | #200 情熱《じょうねつ》
情熱的《じょうねつてき》 | #200 onate = 情熱的《じょうねつてき》な。
意思疎通《いしそつう》 | #052 意思疎通《いしそつう》
愛情《あいじょう》 | #130 愛情《あいじょう》や再会《さいかい
慎重《しんちょう》 | #243 hoose より慎重《しんちょう》に選《えら》ぶ語
懐中時計《かいちゅうどけい》 | #155 懐中時計《かいちゅうどけい》
成し遂《なしと》 | #101 finally>｜成し遂《なしと》げた。ベンチも観
戦《たたか》 | #106 戦《たたか》った
戦後《せんご》 | #120 代《せだい》は、戦後《せんご》の食糧不足《しょ
戦火《せんか》 | #228 戦火《せんか》を逃《のが》れた
戦艦《せんかん》 | #180 ん》の1サイズの戦艦《せんかん》の<model>
戸惑《とまど》 | #064 ょ》少《すこ》し戸惑《とまど》っていた。
扇《おうぎ》 | #096 《いみ》もある(扇《おうぎ》ぐもの)。
