々《々》 | #498 n>の島《しま》々《々》、沖縄《おきなわ
仕切《しき》 | #105 仕切《しき》られた区画《くか
仕掛《しか》 | #566 に、餌《えさ》を仕掛《しか》けた檻《らん》の
付録《ふろく》 | #309 らぱらめくった。付録《ふろく》つきの号《ごう》
代々《だいだい》 | #561 んとうてき》な。代々《だいだい》｜受け継《うけつ
代替《だいたい》 | #169 皇《てんのう》の代替《だいたい》わりごとに<er
代表格《だいひょうかく》 | #100 んいんりょう》の代表格《だいひょうかく》。
件《けん》 | #102 ment>が10件《けん》もついて、画面《
任《まか》 | #571 t me. = 任《まか》せて。
休養《きゅうよう》 | #424 ation = 休養《きゅうよう》。
会釈《えしゃく》 | #327 、思《おも》わず会釈《えしゃく》をしてしまった。
伝統料理《でんとうりょうり》 | #245 waiian>の伝統料理《でんとうりょうり》ポキは、新鮮《し
伝説《でんせつ》 | #303 伝説《でんせつ》上《うえ》の
低学年《ていがくねん》 | #512 《ひるやす》みに低学年《ていがくねん》向《む》けの<s
住宅《じゅうたく》 | #018 合《しゅうごう》住宅《じゅうたく》の一室《いっしつ
住宅街《じゅうたくがい》 | #615 住宅街《じゅうたくがい》
住所《じゅうしょ》 | #002 住所《じゅうしょ》
佐賀《さが》 | #604 佐賀《さが》の有田《ありだ》
体感《たいかん》 | #465 入《はい》ると、体感《たいかん》の温度《おんど》
体積《たいせき》 | #600 《おんりょう》・体積《たいせき》・本《ほん》の巻
体長《たいちょう》 | #573 う》のせりでは、体長《たいちょう》2メートルの<t
何分《なんぷん》 | #093 《たちあ》がって何分《なんぷん》も<clap>し
何十人《なんじゅうにん》 | #282 》が町《まち》に何十人《なんじゅうにん》もいると笑《わら
余《あま》 | #168 余《あま》った
余白《よはく》 | #008 に貼《は》られ、余白《よはく》に日付《ひづけ》
余興《よきょう》 | #310 余興《よきょう》の<magic>
作曲家《さっきょくか》 | #364 作曲家《さっきょくか》
作物《さくもつ》 | #183 》の人《にん》。作物《さくもつ》や家畜《かちく》
使い込《つかいこ》 | #620 ｜使い込《つかいこ》まれた
侮辱《ぶじょく》 | #277 侮辱《ぶじょく》する
係員《かかりいん》 | #026 係員《かかりいん》
保管《ほかん》 | #288 保管《ほかん》していた
保育園《ほいくえん》 | #349 chool = 保育園《ほいくえん》。nurse と
保証書《ほしょうしょ》 | #073 保証書《ほしょうしょ》
保険証《ほけんしょう》 | #375 保険証《ほけんしょう》
信号機《しんごうき》 | #562 light = 信号機《しんごうき》。traffic
信頼《しんらい》 | #571 より深《ふか》い信頼《しんらい》。Trust m
修道《しゅうどう》 | #348 は、黒《くろ》い修道《しゅうどう》服《ふく》に身《
修道士《しゅうどうし》 | #348 》は monk(修道士《しゅうどうし》)。
修道女《しゅうどうじょ》 | #348 修道女《しゅうどうじょ》
個室《こしつ》 | #105 ん》用《よう》の個室《こしつ》で、扉《とびら》
値《あたい》 | #364 円《おくえん》の値《あたい》がつく。
値上《ねあ》 | #142 値上《ねあ》げ
値札《ねふだ》 | #406 e tag = 値札《ねふだ》。
停泊《ていはく》 | #469 の<ship>が停泊《ていはく》していて、コンテ
傾向《けいこう》 | #096 ちょうきてき》な傾向《けいこう》。
傾斜《けいしゃ》 | #419 傾斜《けいしゃ》した通路《つうろ
僧侶《そうりょ》 | #331 》は今《いま》も僧侶《そうりょ》への施《ほどこ》
儀式《ぎしき》 | #003 儀式《ぎしき》
優《まさ》 | #173 常《ひじょう》に優《まさ》れた
優劣《ゆうれつ》 | #110 優劣《ゆうれつ》を競《きそ》う催
元日《がんじつ》 | #233 しゅうかん》で、元日《がんじつ》の朝《あさ》に届
元素《げんそ》 | #359 元素《げんそ》記号《きごう》 
先住民《せんじゅうみん》 | #005 先住民《せんじゅうみん》
免許証《めんきょしょう》 | #375 免許証《めんきょしょう》
入居《にゅうきょ》 | #109 んばい》されて、入居《にゅうきょ》の｜引っ越《ひっ
入選《にゅうせん》 | #110 の中《なか》から入選《にゅうせん》の50点《てん》
全《すべ》 | #164 の3分《ふん》で全《すべ》ての謎《なぞ》が
全《ぜん》 | #073 をもらってきた。全《ぜん》20車種《しゃし
全世界《ぜんせかい》 | #612 world = 全世界《ぜんせかい》。hole(穴《
全力疾走《ぜんりょくしっそう》 | #247 全力疾走《ぜんりょくしっそう》のあと、<hea
全品《ぜんぴん》 | #142 ン屋《や》では、全品《ぜんぴん》30%の<dis
全財産《ぜんざいさん》 | #135 全財産《ぜんざいさん》を火事《かじ》で
全長《ぜんちょう》 | #259 <huge>で、全長《ぜんちょう》12メートル。隣
公民《こうみん》 | #133 組《しく》みを、公民《こうみん》の授業《じゅぎょ
公民権運動《こうみんけんうんどう》 | #005 erican>の公民権運動《こうみんけんうんどう》を率《ひき》い、
六角《ろっかく》 | #553 は、ドライバーと六角《ろっかく》レンチの2つの<
共《とも》 | #103 ご》源《げん》。共《とも》に暮《く》らす人
共同《きょうどう》 | #374 社《かいしゃ》の共同《きょうどう》経営者《けいえい
共通《きょうつう》 | #103 common(共通《きょうつう》の)と同語《どう
共通点《きょうつうてん》 | #137 共通点《きょうつうてん》
具《ぐ》 | #249 器《だんぼうき》具《ぐ》
内戦《ないせん》 | #146 内戦《ないせん》で家《いえ》を失
円盤《えんばん》 | #156 >で見《み》た。円盤《えんばん》をプレーヤーに入
冊子《さっし》 | #073 覧《いちらん》の冊子《さっし》。catalog
再生可能《さいせいかのう》 | #426 再生可能《さいせいかのう》な
冒険《ぼうけん》 | #003 冒険《ぼうけん》
写真家《しゃしんか》 | #263 写真家《しゃしんか》
写真集《しゃしんしゅう》 | #015 写真集《しゃしんしゅう》
冷《さ》 | #539 冷《さ》めた
冷凍《れいとう》 | #204 冷凍《れいとう》の
冷水《ひやみず》 | #047 il>して、すぐ冷水《ひやみず》でしめるのがおい
凍結《とうけつ》 | #464 すいどうかん》の凍結《とうけつ》で断水《だんすい
処方箋《しょほうせん》 | #381 処方箋《しょほうせん》を渡《わた》すと
凱旋門《がいせんもん》 | #373 ェル塔《とう》や凱旋門《がいせんもん》があり、芸術《げ
出勤《しゅっきん》 | #349 《あず》けてから出勤《しゅっきん》する。お迎《むか
出席番号《しゅっせきばんごう》 | #582 出席番号《しゅっせきばんごう》<twenty-
出没《しゅつぼつ》 | #034 に「<bear>出没《しゅつぼつ》注意《ちゅうい》
出演者《しゅつえんしゃ》 | #026 出演者《しゅつえんしゃ》
出荷《しゅっか》 | #062 こう》させてから出荷《しゅっか》される。
出身《しゅっしん》 | #282 》はウェールズの出身《しゅっしん》で、同《おな》じ
出身地《しゅっしんち》 | #070 出身地《しゅっしんち》
刀《かたな》 | #529 刀《かたな》
刀傷《かたなきず》 | #605 《てんじ》され、刀傷《かたなきず》の跡《あと》まで
刃《は》 | #529 sword>は、刃《は》が鏡《かがみ》の
分厚《ぶあつ》 | #309 きの号《ごう》は分厚《ぶあつ》い。
分詞《ぶんし》 | #270 含《ふく》む)の分詞《ぶんし》。excludi
分譲《ぶんじょう》 | #109 分譲《ぶんじょう》マンション
分離《ぶんり》 | #462 ation = 分離《ぶんり》。形容詞《けいよ
切り抜《きりぬ》 | #339 きじ》をはさみで｜切り抜《きりぬ》いてノートに貼《
切り替《きりか》 | #534 》めるどころか「｜切り替《きりか》えよう」と声《こ
刈《か》 | #230 は短《みじか》く刈《か》りそろえられ、裸
列車《れっしゃ》 | #453 列車《れっしゃ》の窓《まど》から
初対面《しょたいめん》 | #205 endly>で、初対面《しょたいめん》の私《わたし》に
判事《はんじ》 | #324 判事《はんじ》
判定《はんてい》 | #432 かえ》ってきた。判定《はんてい》はBだったが、苦
別行動《べつこうどう》 | #454 ん》が班《はん》別行動《べつこうどう》、午後《ごご》は
別解《べっかい》 | #482 なんもん》にも、別解《べっかい》まで添《そ》えて
制作《せいさく》 | #015 mation>の制作《せいさく》現場《げんば》で
制度《せいど》 | #177 制度《せいど》
制限《せいげん》 | #301 limit(制限《せいげん》)+ -ed。l
刺《さ》 | #078 中《まんなか》に刺《さ》さった。<cen
前半終了《ぜんはんしゅうりょう》 | #455 前半終了《ぜんはんしゅうりょう》時点《じてん》の
前夜《ぜんや》 | #360 行《りょこう》の前夜《ぜんや》、スーツケースに
前日《ぜんじつ》 | #579 25日《にち》の前日《ぜんじつ》にあたるこの晩《
前開《ぜんかい》 | #281 前開《ぜんかい》きの上着《うわぎ
創作《そうさく》 | #122 eator = 創作《そうさく》者《もの》。
創業《そうぎょう》 | #312 <maker>は創業《そうぎょう》100年《ねん》
創造《そうぞう》 | #122 創造《そうぞう》する
創造的《そうぞうてき》 | #122 ative = 創造的《そうぞうてき》な。creato
劇団《げきだん》 | #354 劇団《げきだん》
劇的《げきてき》 | #150 matic = 劇的《げきてき》な。演劇《えんげ
加工《かこう》 | #062 o 豆《まめ》を加工《かこう》すると coco
加水《かすい》 | #334 加熱《かねつ》も加水《かすい》もしていない<n
加湿器《かしつき》 | #249 加湿器《かしつき》
加熱《かねつ》 | #334 泉《おんせん》は加熱《かねつ》も加水《かすい》
助手《じょしゅ》 | #023 stant = 助手《じょしゅ》。help より
労力《ろうりょく》 | #159 。少《すく》ない労力《ろうりょく》で成果《せいか》
効果的《こうかてき》 | #144 単《かんたん》で効果的《こうかてき》な方法《ほうほう
効率《こうりつ》 | #159 iency = 効率《こうりつ》。少《すく》ない
効率的《こうりつてき》 | #159 効率的《こうりつてき》な
勇敢《ゆうかん》 | #050 avery = 勇敢《ゆうかん》さ。courag
勝《かち》 | #070 eer>で300勝《かち》を挙《あ》げ、引
勤《つと》 | #104 父《ちち》の勤《つと》める<compa
勤労感謝《きんろうかんしゃ》 | #578 d>の日《ひ》は勤労感謝《きんろうかんしゃ》の日《ひ》で、2
勤務《きんむ》 | #393 lo>シャツでの勤務《きんむ》が認《みと》めら
勤務先《きんむさき》 | #255 勤務先《きんむさき》
化粧水《けしょうすい》 | #108 化粧水《けしょうすい》
北東《ほくとう》 | #499 北東《ほくとう》
北極《ほっきょく》 | #345  Pole = 北極《ほっきょく》。
北欧《ほくおう》 | #191 nland>は、北欧《ほくおう》にあり、冬《ふゆ
区《く》 | #404 区《く》
医学的《いがくてき》 | #144 kness より医学的《いがくてき》な語《ご》。he
医療《いりょう》 | #150 かぞく》そろって医療《いりょう》<drama>を
十五夜《じゅうごや》 | #552 onight>は十五夜《じゅうごや》なので、夕食《ゆ
十字《じゅうじ》 | #123 切《ふみきり》。十字《じゅうじ》(クロス)から。
千円《せんえん》 | #508 ゴム2個《こ》で千円《せんえん》ちょうどだった。
半日《はんにち》 | #074 ふっきゅう》には半日《はんにち》かかった。
半額《はんがく》 | #080 当《べんとう》が半額《はんがく》になる。同《おな
南米《なんべい》 | #170 南米《なんべい》
南部《なんぶ》 | #158 南部《なんぶ》の
単《たん》 | #010 と違《ちが》い、単《たん》に「1人《にん》
単純明快《たんじゅんめいかい》 | #332 単純明快《たんじゅんめいかい》な
印刷屋《いんさつや》 | #383 印刷屋《いんさつや》
危《あぶ》 | #471 《えきいん》が「危《あぶ》ない!」と<sh
危《あや》 | #446 危《あや》うく
危惧《きぐ》 | #143 絶滅《ぜつめつ》危惧《きぐ》種《たね》の魚《
即座《そくざ》 | #347 関《げんかん》で即座《そくざ》に当《あ》てた。
即決《そっけつ》 | #406 さ》がっていた。即決《そっけつ》だった。
卵焼《たまごや》 | #613 うれ》しそうに、卵焼《たまごや》きの入《はい》っ
厚紙《あつがみ》 | #069 card(厚紙《あつがみ》)+ board
原作《げんさく》 | #357 原作《げんさく》の
原子力《げんしりょく》 | #491 原子力《げんしりょく》の
原画《げんが》 | #015 《げんば》では、原画《げんが》マンが1枚《まい
原義《げんぎ》 | #126 じょうれん》」が原義《げんぎ》。
厳《いかめ》 | #181 厳《いかめ》しい
参列者《さんれつしゃ》 | #265 こんしき》では、参列者《さんれつしゃ》全員《ぜんいん》
友《とも》 | #593 の日《にち》に、友《とも》チョコを5個《こ
友人《ゆうじん》 | #027 アメリカの友人《ゆうじん》の家《いえ》の<
双《そう》 | #537 双《そう》眼鏡《めがね》な
反対側《はんたいがわ》 | #353  side = 反対側《はんたいがわ》。
反省《はんせい》 | #182 反省《はんせい》
収納《しゅうのう》 | #305 《かぎ》のかかる収納《しゅうのう》。locker 
収集《しゅうしゅう》 | #211 arbage>の収集《しゅうしゅう》日《にち》。8時
取り出《とりだ》 | #351 《なか》のエサを｜取り出《とりだ》した。
受験勉強《じゅけんべんきょう》 | #131 続《つづ》けるか受験勉強《じゅけんべんきょう》に専念《せんねん
口笛《くちぶえ》 | #093 口笛《くちぶえ》を吹《ふ》く
古典的《こてんてき》 | #094 古典的《こてんてき》な
叫《さけ》 | #471 叫《さけ》ぶ
台座《だいざ》 | #456 の像《ぞう》で、台座《だいざ》に作者《さくしゃ
叱《しか》 | #450 い、母《はは》に叱《しか》られた。
号《ごう》 | #309 《ふろく》つきの号《ごう》は分厚《ぶあつ》
号砲《ごうほう》 | #237 スタートの号砲《ごうほう》(本物《ほんもの
司会《しかい》 | #216 en>!」という司会《しかい》の呼《よ》びかけ
各党《かくとう》 | #392 とうろん》では、各党《かくとう》の<politi
合唱団《がっしょうだん》 | #032 合唱団《がっしょうだん》
合宿所《がっしゅくじょ》 | #065 合宿所《がっしゅくじょ》
合成語《ごうせいご》 | #083 burger の合成語《ごうせいご》。
同一《どういつ》 | #476 同一《どういつ》の
同伴《どうはん》 | #104 仲間《なかま》・同伴《どうはん》」の意味《いみ》
同僚《どうりょう》 | #336 同僚《どうりょう》
同封《どうふう》 | #002 か》いたカードを同封《どうふう》した。郵便番号《
同意《どうい》 | #140 + agree(同意《どうい》する)。
同点《どうてん》 | #455 2対《つい》2の同点《どうてん》。勝負《しょうぶ
同窓会《どうそうかい》 | #422 年《ねん》ぶりの同窓会《どうそうかい》でも、母《はは》
名乗《なの》 | #215 leman>は、名乗《なの》らずに去《さ》っ
名所《めいしょ》 | #475 sight(名所《めいしょ》)+ seein
名残《なごり》 | #358 装《かいそう》の名残《なごり》として壁《かべ》
吸い込《すいこ》 | #291 上《みぎうえ》に｜吸い込《すいこ》まれ、スタンドが
吹き出《ふきだ》 | #208 ぎゅうにゅう》を｜吹き出《ふきだ》しそうになった。
周回《しゅうかい》 | #603 々《もくもく》と周回《しゅうかい》している。
周波数《しゅうはすう》 | #600 周波数《しゅうはすう》
周目《しゅうめ》 | #567 、今《いま》は2周目《しゅうめ》の旅《たび》の計
周辺部《しゅうへんぶ》 | #517 。都市《とし》の周辺部《しゅうへんぶ》。
味噌《みそ》 | #500 豆腐《とうふ》も味噌《みそ》もしょうゆも、原
呼び出《よびだ》 | #329 緒《いっしょ》に｜呼び出《よびだ》しカウンターへ連
呼び名《よびな》 | #589 鉄《ちかてつ》の｜呼び名《よびな》。
呼び物《よびもの》 | #025 ction = ｜呼び物《よびもの》。
呼吸《こきゅう》 | #359 《きごう》 O。呼吸《こきゅう》に不可欠《ふかけ
和《やわ》 | #125 《しょうげき》を和《やわ》らげるもの全般《
和紙《わし》 | #604 和紙《わし》
品物《しなもの》 | #225 ふくすうけい》。品物《しなもの》・グッズ。
善良《ぜんりょう》 | #224 善良《ぜんりょう》さ
喧騒《けんそう》 | #517 都心《としん》の喧騒《けんそう》を離《はな》れ、
営利《えいり》 | #079 営利《えいり》
営業担当《えいぎょうたんとう》 | #411 営業担当《えいぎょうたんとう》
器具《きぐ》 | #553 》に使《つか》う器具《きぐ》。toolbox
嚢《のう》 | #399 の育児《いくじ》嚢《のう》も同《おな》じ語
四角形《しかくけい》 | #092 四角形《しかくけい》
回収車《かいしゅうしゃ》 | #211 《だ》さないと、回収車《かいしゅうしゃ》は行《い》ってし
回答者《かいとうしゃ》 | #377 アンケートでは、回答者《かいとうしゃ》の85<perc
団子《だんご》 | #552 で月見《つきみ》団子《だんご》を持《も》って縁
囲碁《いご》 | #085 囲碁《いご》
固体《こたい》 | #321 熱《ねつ》で固体《こたい》が液体《えきたい
固定《こてい》 | #054 固定《こてい》する
国中《くにじゅう》 | #407 た娘《むすめ》を国中《くにじゅう》｜探し回《さがし
国歌《こっか》 | #265 国歌《こっか》
国民《こくみん》 | #133 配《しはい》)。国民《こくみん》が主権《しゅけん
国立公園《こくりつこうえん》 | #533 》。セレンゲティ国立公園《こくりつこうえん》も有名《ゆうめい
在庫処分《ざいこしょぶん》 | #134 在庫処分《ざいこしょぶん》
地下室《ちかしつ》 | #027 地下室《ちかしつ》
地下鉄《ちかてつ》 | #518 地下鉄《ちかてつ》
地味《じみ》 | #269 地味《じみ》な
地図帳《ちずちょう》 | #136 地図帳《ちずちょう》
地域社会《ちいきしゃかい》 | #103 地域社会《ちいきしゃかい》
地平線《ちへいせん》 | #595 野《へいや》は、地平線《ちへいせん》まで畑《はたけ》
地方《ちほう》 | #497 <south>の地方《ちほう》へ向《む》けて、
垂《た》 | #321 首《てくび》まで垂《た》れてきた。
城壁《じょうへき》 | #367 城壁《じょうへき》
堀《ほり》 | #524 》は深《ふか》い堀《ほり》と高《たか》い石
報道《ほうどう》 | #189 報道《ほうどう》
塗《ぬり》 | #121 《わ》島《しま》塗《ぬり》の<crafts
塗装《とそう》 | #294 塗装《とそう》する
塩味《しおあじ》 | #120 薄《うす》くて塩味《しおあじ》の<cracke
塩気《しおけ》 | #059 》み込《こ》み、塩気《しおけ》と香《かお》りが
塩辛《しおから》 | #449 salty = 塩辛《しおから》い。sugar(
士《さむらい》 | #138 》予報《よほう》士《さむらい》では<diffe
声優《せいゆう》 | #411 声優《せいゆう》
声援《せいえん》 | #093 声援《せいえん》を送《おく》るだ
声色《こわいろ》 | #512 見《み》せながら声色《こわいろ》も変《か》える。
売り切《うりき》 | #142 ｜売り切《うりき》れ
売り場《うりば》 | #196 切符《きっぷ》｜売り場《うりば》
売り物《うりもの》 | #448  sale = ｜売り物《うりもの》。on sale
売り買《うりか》 | #560 》と国《くに》の｜売り買《うりか》い。カードの「ト
夏合宿《なつがっしゅく》 | #557 夏合宿《なつがっしゅく》の最終日《さいし
夕立《ゆうだち》 | #418 夕立《ゆうだち》のあと、空《そら
外周《がいしゅう》 | #078 外周《がいしゅう》
多《た》 | #012 が集《あつ》まる多《た》民族《みんぞく》
多数決《たすうけつ》 | #133 を選《えら》び、多数決《たすうけつ》で物事《ものごと
多様性《たようせい》 | #594 variety(多様性《たようせい》)の形容詞《けい
多用《たよう》 | #275 スポーツのけがに多用《たよう》。
夜景《やけい》 | #297 が3つもついて、夜景《やけい》も昼間《ひるま》
大半《たいはん》 | #371 電気《でんき》の大半《たいはん》をまかなっている
大学全般《だいがくぜんぱん》 | #101 じ。アメリカでは大学全般《だいがくぜんぱん》を指《さ》す。
大広間《おおひろま》 | #367 み》張《は》りの大広間《おおひろま》や黄金《おうごん
大文字《おおもじ》 | #067 「大文字《おおもじ》」「資本《しほん
大歓声《だいかんせい》 | #061 《かいじょう》は大歓声《だいかんせい》に包《つつ》まれ
大水《おおみず》 | #020 uarium>の大水《おおみず》槽《そう》では、
大河《たいが》 | #514 大河《たいが》
大物《おおもの》 | #573 番《いちばん》の大物《おおもの》には数百万《すう
大統領《だいとうりょう》 | #317 大統領《だいとうりょう》
大編成《だいへんせい》 | #354 《かんがっき》の大編成《だいへんせい》。
大縄《おおなわ》 | #548 大縄《おおなわ》跳《と》びは入《
大臣《だいじん》 | #324 大臣《だいじん》
大豆《だいず》 | #062 大豆《だいず》
大都会《だいとかい》 | #615 大都会《だいとかい》
天《てん》 | #030 》の幹《かん》が天《てん》に伸《の》び、春
天候《てんこう》 | #455 天候《てんこう》
天然《てんねん》 | #022 natural(天然《てんねん》の)の対《つい》
天皇《てんのう》 | #169 《にっぽん》では天皇《てんのう》の代替《だいたい
太陽光《たいようこう》 | #371 に並《なら》んだ太陽光《たいようこう》の<panel>
太陽神《たいようしん》 | #221 d>ポセイドンや太陽神《たいようしん》アポロンなど、個
太陽系《たいようけい》 | #491 ystem = 太陽系《たいようけい》。sun のラテ
夫《おっと》 | #264 《い》うと、その夫《おっと》は照《て》れくさ
失礼《しつれい》 | #294 ock>して、「失礼《しつれい》します」と言《い
奄美《あまみ》 | #498 縄《おきなわ》や奄美《あまみ》では、1月《がつ
奇妙《きみょう》 | #513 奇妙《きみょう》な
奨学金《しょうがくきん》 | #324 新《あたら》しい奨学金《しょうがくきん》制度《せいど》に
奪い合《うばいあ》 | #568 の地図《ちず》を｜奪い合《うばいあ》い、金貨《きんか
女《おんな》 | #229 d + son。女《おんな》の孫《まご》は 
女性名《じょせいめい》 | #285 《えいごけん》の女性名《じょせいめい》。
女王《じょおう》 | #293 queen(女王《じょおう》)の対《つい》。
好奇心《こうきしん》 | #244 好奇心《こうきしん》
妥協《だきょう》 | #140 妥協《だきょう》する
妨《さまた》 | #033 移動《いどう》を妨《さまた》げていた<bar
妨害《ぼうがい》 | #023 妨害《ぼうがい》する
妻《つま》 | #264 wife(妻《つま》)の対《つい》。
姿見《すがたみ》 | #405 epare>し、姿見《すがたみ》の前《まえ》で3
威力《いりょく》 | #401 がしびれるほどの威力《いりょく》がある。
威厳《いげん》 | #311 陛下《へいか》・威厳《いげん》)の形容詞《けい
娯楽《ごらく》 | #079 娯楽《ごらく》
嫁《よめ》 | #288 祖母《そぼ》は嫁《よめ》入《はい》り道具
子守歌《こもりうた》 | #265 子守歌《こもりうた》
字形《じけい》 | #532 《ひろ》げるとT字形《じけい》になることから。
