b,lesson_id,song_dir,cue_index,speaker,speaker_ja,start,end,joined_start,joined_end,english,japanese,mixed,audio
1,5,05_beginner_tom_b1,11,Tom,トム,31.2,33.67,31.2,33.67,Oh! A talking taco!,えっ！しゃべるタコスだ！,(Tom) Oh! A talking taco! 「(トム) えっ！しゃべるタコスだ！」,audio/phonics/L5/s11.mp3
1,5,05_beginner_tom_b1,12,Tom,トム,33.82,36.19,33.82,36.19,Oh! A talking taco!,えっ！しゃべるタコスだ！,(Tom) Oh! A talking taco! 「(トム) えっ！しゃべるタコスだ！」,audio/phonics/L5/s12.mp3
1,5,05_beginner_tom_b1,13,Teacher Tacos,ティーチャータコス,36.34,37.46,36.34,37.46,Correct!,その通り！,(Teacher Tacos) Correct! 「(ティーチャータコス) その通り！」,audio/phonics/L5/s13.mp3
1,5,05_beginner_tom_b1,14,Teacher Tacos,ティーチャータコス,37.61,38.73,37.61,38.73,Correct!,その通り！,(Teacher Tacos) Correct! 「(ティーチャータコス) その通り！」,audio/phonics/L5/s14.mp3
1,5,05_beginner_tom_b1,15,Teacher Tacos,ティーチャータコス,40.39,43.82,40.39,43.82,I am the gate guide today.,今日は私が門の案内役です。,(Teacher Tacos) I am the gate guide today. 「(ティーチャータコス) 今日は私が門の案内役です。」,audio/phonics/L5/s15.mp3
1,5,05_beginner_tom_b1,16,Teacher Tacos,ティーチャータコス,44.07,47.5,44.07,47.5,I am the gate guide today.,今日は私が門の案内役です。,(Teacher Tacos) I am the gate guide today. 「(ティーチャータコス) 今日は私が門の案内役です。」,audio/phonics/L5/s16.mp3
1,5,05_beginner_tom_b1,17,Teacher Tacos,ティーチャータコス,48.68,50.61,48.68,50.61,You are welcome here.,ここでは、きみは大歓迎だよ。,(Teacher Tacos) You are welcome here. 「(ティーチャータコス) ここでは、きみは大歓迎だよ。」,audio/phonics/L5/s17.mp3
1,5,05_beginner_tom_b1,18,Teacher Tacos,ティーチャータコス,50.71,54.1,50.71,54.1,You are welcome here.,ここでは、きみは大歓迎だよ。,(Teacher Tacos) You are welcome here. 「(ティーチャータコス) ここでは、きみは大歓迎だよ。」,audio/phonics/L5/s18.mp3
1,5,05_beginner_tom_b1,19,Tom,トム,54.1,57.68,54.1,57.68,Wow! I am excited.,わあ！わくわくしてきた。,(Tom) Wow! I am excited. 「(トム) わあ！わくわくしてきた。」,audio/phonics/L5/s19.mp3
1,5,05_beginner_tom_b1,20,Tom,トム,57.94,60.64,57.94,60.64,Wow! I am excited.,わあ！わくわくしてきた。,(Tom) Wow! I am excited. 「(トム) わあ！わくわくしてきた。」,audio/phonics/L5/s20.mp3
1,5,05_beginner_tom_b1,21,Tom,トム,60.95,64.07,60.95,64.07,This place is amazing.,ここはすごい場所だね。,(Tom) This place is amazing. 「(トム) ここはすごい場所だね。」,audio/phonics/L5/s21.mp3
1,5,05_beginner_tom_b1,22,Tom,トム,64.32,67.44,64.32,67.44,This place is amazing.,ここはすごい場所だね。,(Tom) This place is amazing. 「(トム) ここはすごい場所だね。」,audio/phonics/L5/s22.mp3
1,5,05_beginner_tom_b1,23,Teacher Tacos,ティーチャータコス,67.75,72.62,67.75,72.62,"Yes. This island is a little strange, too.",うん。この島はちょっと不思議でもあるんだ。,"(Teacher Tacos) Yes. This island is a little strange, too. 「(ティーチャータコス) うん。この島はちょっと不思議でもあるんだ。」",audio/phonics/L5/s23.mp3
1,5,05_beginner_tom_b1,24,Teacher Tacos,ティーチャータコス,72.85,79.57,72.85,79.57,"Yes. This island is a little strange, too.",うん。この島はちょっと不思議でもあるんだ。,"(Teacher Tacos) Yes. This island is a little strange, too. 「(ティーチャータコス) うん。この島はちょっと不思議でもあるんだ。」",audio/phonics/L5/s24.mp3
2,6,06_beginner_tom_b2,1,Teacher Tacos,ティーチャータコス,0.01,1.78,84.53,86.3,"OK, Tom, are you ready?",よし、トム、準備はできた？,"(Teacher Tacos) OK, Tom, are you ready? 「(ティーチャータコス) よし、トム、準備はできた？」",audio/phonics/L6/s1.mp3
2,6,06_beginner_tom_b2,2,Teacher Tacos,ティーチャータコス,1.87,6.36,86.39,90.88,"OK, Tom, are you ready?",よし、トム、準備はできた？,"(Teacher Tacos) OK, Tom, are you ready? 「(ティーチャータコス) よし、トム、準備はできた？」",audio/phonics/L6/s2.mp3
2,6,06_beginner_tom_b2,3,Tom,トム,6.81,10.07,91.33,94.59,"Hmm... Yes, I am.",うーん……うん、できたよ。,"(Tom) Hmm... Yes, I am. 「(トム) うーん……うん、できたよ。」",audio/phonics/L6/s3.mp3
2,6,06_beginner_tom_b2,4,Tom,トム,10.07,12.92,94.59,97.44,"Hmm... Yes, I am.",うーん……うん、できたよ。,"(Tom) Hmm... Yes, I am. 「(トム) うーん……うん、できたよ。」",audio/phonics/L6/s4.mp3
2,6,06_beginner_tom_b2,5,Teacher Tacos,ティーチャータコス,13.41,14.99,97.93,99.51,Are you hungry?,おなかはすいている？,(Teacher Tacos) Are you hungry? 「(ティーチャータコス) おなかはすいている？」,audio/phonics/L6/s5.mp3
2,6,06_beginner_tom_b2,6,Teacher Tacos,ティーチャータコス,15.19,16.61,99.71,101.13,Are you hungry?,おなかはすいている？,(Teacher Tacos) Are you hungry? 「(ティーチャータコス) おなかはすいている？」,audio/phonics/L6/s6.mp3
2,6,06_beginner_tom_b2,7,Tom,トム,16.77,18.65,101.29,103.17,"No, I am not.",いいえ、すいていません。,"(Tom) No, I am not. 「(トム) いいえ、すいていません。」",audio/phonics/L6/s7.mp3
2,6,06_beginner_tom_b2,8,Tom,トム,19.03,20.41,103.55,104.93,"No, I am not.",いいえ、すいていません。,"(Tom) No, I am not. 「(トム) いいえ、すいていません。」",audio/phonics/L6/s8.mp3
2,6,06_beginner_tom_b2,9,Tom,トム,20.65,23.1,105.17,107.62,I am just curious. Wow.,ただ、気になっているだけ。わあ。,(Tom) I am just curious. Wow. 「(トム) ただ、気になっているだけ。わあ。」,audio/phonics/L6/s9.mp3
2,6,06_beginner_tom_b2,10,Tom,トム,23.16,26.25,107.68,110.77,I am just curious. Wow.,ただ、気になっているだけ。わあ。,(Tom) I am just curious. Wow. 「(トム) ただ、気になっているだけ。わあ。」,audio/phonics/L6/s10.mp3
2,6,06_beginner_tom_b2,11,Teacher Tacos,ティーチャータコス,26.34,27.89,110.86,112.41,Are you nervous?,緊張している？,(Teacher Tacos) Are you nervous? 「(ティーチャータコス) 緊張している？」,audio/phonics/L6/s11.mp3
2,6,06_beginner_tom_b2,12,Teacher Tacos,ティーチャータコス,28.21,29.72,112.73,114.24,Are you nervous?,緊張している？,(Teacher Tacos) Are you nervous? 「(ティーチャータコス) 緊張している？」,audio/phonics/L6/s12.mp3
2,6,06_beginner_tom_b2,13,Tom,トム,30.01,30.61,114.53,115.13,A little.,少しね。,(Tom) A little. 「(トム) 少しね。」,audio/phonics/L6/s13.mp3
2,6,06_beginner_tom_b2,14,Tom,トム,30.61,31.25,115.13,115.77,A little.,少しね。,(Tom) A little. 「(トム) 少しね。」,audio/phonics/L6/s14.mp3
2,6,06_beginner_tom_b2,15,Tom,トム,31.33,35.17,115.85,119.69,Hmm... Are the island friends friendly?,うーん……島の仲間たちは親切かな？,(Tom) Hmm... Are the island friends friendly? 「(トム) うーん……島の仲間たちは親切かな？」,audio/phonics/L6/s15.mp3
2,6,06_beginner_tom_b2,16,Tom,トム,35.39,38.49,119.91,123.01,Hmm... Are the island friends friendly?,うーん……島の仲間たちは親切かな？,(Tom) Hmm... Are the island friends friendly? 「(トム) うーん……島の仲間たちは親切かな？」,audio/phonics/L6/s16.mp3
2,6,06_beginner_tom_b2,17,Teacher Tacos,ティーチャータコス,38.65,40.81,123.17,125.33,Yes. Very friendly.,うん。とても親切だよ。,(Teacher Tacos) Yes. Very friendly. 「(ティーチャータコス) うん。とても親切だよ。」,audio/phonics/L6/s17.mp3
2,6,06_beginner_tom_b2,18,Teacher Tacos,ティーチャータコス,41.27,43.36,125.79,127.88,Yes. Very friendly.,うん。とても親切だよ。,(Teacher Tacos) Yes. Very friendly. 「(ティーチャータコス) うん。とても親切だよ。」,audio/phonics/L6/s18.mp3
2,6,06_beginner_tom_b2,19,Teacher Tacos,ティーチャータコス,43.55,44.98,128.07,129.5,Don't worry.,心配しないで。,(Teacher Tacos) Don't worry. 「(ティーチャータコス) 心配しないで。」,audio/phonics/L6/s19.mp3
2,6,06_beginner_tom_b2,20,Teacher Tacos,ティーチャータコス,45.21,46.69,129.73,131.21,Don't worry.,心配しないで。,(Teacher Tacos) Don't worry. 「(ティーチャータコス) 心配しないで。」,audio/phonics/L6/s20.mp3
2,6,06_beginner_tom_b2,21,Tom,トム,46.93,49.82,131.45,134.34,OK. Then I am ready.,わかった。じゃあ準備できたよ。,(Tom) OK. Then I am ready. 「(トム) わかった。じゃあ準備できたよ。」,audio/phonics/L6/s21.mp3
2,6,06_beginner_tom_b2,22,Tom,トム,50.15,53.04,134.67,137.56,OK. Then I am ready.,わかった。じゃあ準備できたよ。,(Tom) OK. Then I am ready. 「(トム) わかった。じゃあ準備できたよ。」,audio/phonics/L6/s22.mp3
3,7,07_beginner_tom_b3,1,Tom,トム,0.04,8.53,139.28,147.77,"Teacher Taco, I am not from this island.",ティーチャータコス、ぼくはこの島の出身じゃないんだ。,"(Tom) Teacher Taco, I am not from this island. 「(トム) ティーチャータコス、ぼくはこの島の出身じゃないんだ。」",audio/phonics/L7/s1.mp3
3,7,07_beginner_tom_b3,2,Teacher Taco,ティーチャータコス,8.57,21.93,147.81,161.17,"I know, Tom. Don't worry.",わかっているよ、トム。心配しないで。,"(Teacher Taco) I know, Tom. Don't worry. 「(ティーチャータコス) わかっているよ、トム。心配しないで。」",audio/phonics/L7/s2.mp3
3,7,07_beginner_tom_b3,3,Teacher Taco,ティーチャータコス,21.97,23.79,161.21,163.03,"I know, Tom. Don't worry.",わかっているよ、トム。心配しないで。,"(Teacher Taco) I know, Tom. Don't worry. 「(ティーチャータコス) わかっているよ、トム。心配しないで。」",audio/phonics/L7/s3.mp3
3,7,07_beginner_tom_b3,4,Teacher Taco,ティーチャータコス,23.83,25.09,163.07,164.33,You are not alone.,きみは一人じゃないよ。,(Teacher Taco) You are not alone. 「(ティーチャータコス) きみは一人じゃないよ。」,audio/phonics/L7/s4.mp3
3,7,07_beginner_tom_b3,5,Teacher Taco,ティーチャータコス,25.13,28.17,164.37,167.41,You are not alone.,きみは一人じゃないよ。,(Teacher Taco) You are not alone. 「(ティーチャータコス) きみは一人じゃないよ。」,audio/phonics/L7/s5.mp3
3,7,07_beginner_tom_b3,6,Aunt Ant,アントおばさん,28.21,36.16,167.45,175.4,"Hello, Tom. I am Aunt Ant.",こんにちは、トム。私はアントおばさんです。,"(Aunt Ant) Hello, Tom. I am Aunt Ant. 「(アントおばさん) こんにちは、トム。私はアントおばさんです。」",audio/phonics/L7/s6.mp3
3,7,07_beginner_tom_b3,7,Aunt Ant,アントおばさん,36.2,37.77,175.44,177.01,"Hello, Tom. I am Aunt Ant.",こんにちは、トム。私はアントおばさんです。,"(Aunt Ant) Hello, Tom. I am Aunt Ant. 「(アントおばさん) こんにちは、トム。私はアントおばさんです。」",audio/phonics/L7/s7.mp3
3,7,07_beginner_tom_b3,8,Tom,トム,37.81,39.66,177.05,178.9,"Hi, Aunt Ant. You are not a taco!",やあ、アントおばさん。あなたはタコスじゃないね！,"(Tom) Hi, Aunt Ant. You are not a taco! 「(トム) やあ、アントおばさん。あなたはタコスじゃないね！」",audio/phonics/L7/s8.mp3
3,7,07_beginner_tom_b3,9,Tom,トム,39.7,43.05,178.94,182.29,"Hi, Aunt Ant. You are not a taco!",やあ、アントおばさん。あなたはタコスじゃないね！,"(Tom) Hi, Aunt Ant. You are not a taco! 「(トム) やあ、アントおばさん。あなたはタコスじゃないね！」",audio/phonics/L7/s9.mp3
3,7,07_beginner_tom_b3,10,Aunt Ant,アントおばさん,43.09,45.41,182.33,184.65,That's right! I am an ant.,その通り！私はアリだよ。,(Aunt Ant) That's right! I am an ant. 「(アントおばさん) その通り！私はアリだよ。」,audio/phonics/L7/s10.mp3
3,7,07_beginner_tom_b3,11,Aunt Ant,アントおばさん,45.45,49.41,184.69,188.65,That's right! That's right! I am an ant.,その通り！その通り！私はアリだよ。,(Aunt Ant) That's right! That's right! I am an ant. 「(アントおばさん) その通り！その通り！私はアリだよ。」,audio/phonics/L7/s11.mp3
3,7,07_beginner_tom_b3,12,Teacher Taco,ティーチャータコス,49.45,53.23,188.69,192.47,This island is not only for tacos.,この島はタコスだけの場所じゃないんだ。,(Teacher Taco) This island is not only for tacos. 「(ティーチャータコス) この島はタコスだけの場所じゃないんだ。」,audio/phonics/L7/s12.mp3
3,7,07_beginner_tom_b3,13,Teacher Taco,ティーチャータコス,53.27,57.13,192.51,196.37,This island is not only for tacos.,この島はタコスだけの場所じゃないんだ。,(Teacher Taco) This island is not only for tacos. 「(ティーチャータコス) この島はタコスだけの場所じゃないんだ。」,audio/phonics/L7/s13.mp3
3,7,07_beginner_tom_b3,14,Aunt Ant,アントおばさん,57.17,60.37,196.41,199.61,"You are not a taco, but you are welcome here.",きみはタコスじゃないけれど、ここでは大歓迎だよ。,"(Aunt Ant) You are not a taco, but you are welcome here. 「(アントおばさん) きみはタコスじゃないけれど、ここでは大歓迎だよ。」",audio/phonics/L7/s14.mp3
3,7,07_beginner_tom_b3,15,Aunt Ant,アントおばさん,60.41,64.57,199.65,203.81,"You are not a taco, but you are welcome here.",きみはタコスじゃないけれど、ここでは大歓迎だよ。,"(Aunt Ant) You are not a taco, but you are welcome here. 「(アントおばさん) きみはタコスじゃないけれど、ここでは大歓迎だよ。」",audio/phonics/L7/s15.mp3
3,7,07_beginner_tom_b3,16,Tom,トム,64.61,69.82,203.85,209.06,Wow! I am not alone. I have new friends here.,わあ！ぼくは一人じゃない。ここには新しい友だちがいるんだ。,(Tom) Wow! I am not alone. I have new friends here. 「(トム) わあ！ぼくは一人じゃない。ここには新しい友だちがいるんだ。」,audio/phonics/L7/s16.mp3
3,7,07_beginner_tom_b3,17,Tom,トム,69.86,79.06,209.1,218.3,Wow! I am not alone. I have new friends here.,わあ！ぼくは一人じゃない。ここには新しい友だちがいるんだ。,(Tom) Wow! I am not alone. I have new friends here. 「(トム) わあ！ぼくは一人じゃない。ここには新しい友だちがいるんだ。」,audio/phonics/L7/s17.mp3
4,8,08_beginner_tom_b4,1,Teacher Tacos,ティーチャータコス,0.33,5.69,218.73,224.09,"Good morning, Tom. I like the island market.",おはよう、トム。私は島の市場が好きなんだ。,"(Teacher Tacos) Good morning, Tom. I like the island market. 「(ティーチャータコス) おはよう、トム。私は島の市場が好きなんだ。」",audio/phonics/L8/s1.mp3
4,8,08_beginner_tom_b4,2,Teacher Tacos,ティーチャータコス,5.88,11.61,224.28,230.01,"Good morning, Tom. I like the island market.",おはよう、トム。私は島の市場が好きなんだ。,"(Teacher Tacos) Good morning, Tom. I like the island market. 「(ティーチャータコス) おはよう、トム。私は島の市場が好きなんだ。」",audio/phonics/L8/s2.mp3
4,8,08_beginner_tom_b4,3,Tom,トム,11.95,15.18,230.35,233.58,"Wow, I like the colors.",わあ、色がすてきだね。,"(Tom) Wow, I like the colors. 「(トム) わあ、色がすてきだね。」",audio/phonics/L8/s3.mp3
4,8,08_beginner_tom_b4,4,Tom,トム,15.4,18.63,233.8,237.03,"Wow, I like the colors.",わあ、色がすてきだね。,"(Tom) Wow, I like the colors. 「(トム) わあ、色がすてきだね。」",audio/phonics/L8/s4.mp3
4,8,08_beginner_tom_b4,5,Baker Bear,ベイカーベア,18.88,22.6,237.28,241.0,"Hi, Tom. I bake bread here.",やあ、トム。ここでパンを焼いているんだ。,"(Baker Bear) Hi, Tom. I bake bread here. 「(ベイカーベア) やあ、トム。ここでパンを焼いているんだ。」",audio/phonics/L8/s5.mp3
4,8,08_beginner_tom_b4,6,Baker Bear,ベイカーベア,22.95,26.42,241.35,244.82,"Hi, Tom. I bake bread here.",やあ、トム。ここでパンを焼いているんだ。,"(Baker Bear) Hi, Tom. I bake bread here. 「(ベイカーベア) やあ、トム。ここでパンを焼いているんだ。」",audio/phonics/L8/s6.mp3
4,8,08_beginner_tom_b4,7,Tom,トム,26.59,29.66,244.99,248.06,Yum. I eat bread at home.,おいしそう。ぼくは家でパンを食べるよ。,(Tom) Yum. I eat bread at home. 「(トム) おいしそう。ぼくは家でパンを食べるよ。」,audio/phonics/L8/s7.mp3
4,8,08_beginner_tom_b4,8,Tom,トム,30.69,33.52,249.09,251.92,Yum. I eat bread at home.,おいしそう。ぼくは家でパンを食べるよ。,(Tom) Yum. I eat bread at home. 「(トム) おいしそう。ぼくは家でパンを食べるよ。」,audio/phonics/L8/s8.mp3
4,8,08_beginner_tom_b4,9,Bread,パン,33.65,35.07,252.05,253.47,I wave at Tom.,ぼくはトムに手を振るよ。,(Bread) I wave at Tom. 「(パン) ぼくはトムに手を振るよ。」,audio/phonics/L8/s9.mp3
4,8,08_beginner_tom_b4,10,Bread,パン,36.26,37.73,254.66,256.13,I wave at Tom.,ぼくはトムに手を振るよ。,(Bread) I wave at Tom. 「(パン) ぼくはトムに手を振るよ。」,audio/phonics/L8/s10.mp3
4,8,08_beginner_tom_b4,11,Tom,トム,37.87,40.37,256.27,258.77,Wow! The bread waves!,わあ！パンが手を振っている！,(Tom) Wow! The bread waves! 「(トム) わあ！パンが手を振っている！」,audio/phonics/L8/s11.mp3
4,8,08_beginner_tom_b4,12,Tom,トム,40.59,43.17,258.99,261.57,Wow! The bread waves!,わあ！パンが手を振っている！,(Tom) Wow! The bread waves! 「(トム) わあ！パンが手を振っている！」,audio/phonics/L8/s12.mp3
4,8,08_beginner_tom_b4,13,Cowboy Cat,カウボーイキャット,43.61,49.08,262.01,267.48,"Hi, Tom. I count cups for the juice stand.",やあ、トム。ジュース屋さんのカップを数えているんだ。,"(Cowboy Cat) Hi, Tom. I count cups for the juice stand. 「(カウボーイキャット) やあ、トム。ジュース屋さんのカップを数えているんだ。」",audio/phonics/L8/s13.mp3
4,8,08_beginner_tom_b4,14,Cowboy Cat,カウボーイキャット,50.75,56.27,269.15,274.67,"Hi, Tom. I count cups for the juice stand.",やあ、トム。ジュース屋さんのカップを数えているんだ。,"(Cowboy Cat) Hi, Tom. I count cups for the juice stand. 「(カウボーイキャット) やあ、トム。ジュース屋さんのカップを数えているんだ。」",audio/phonics/L8/s14.mp3
4,8,08_beginner_tom_b4,15,Tom,トム,56.58,59.31,274.98,277.71,Whoa! The cups jump!,うわっ！カップが跳ねた！,(Tom) Whoa! The cups jump! 「(トム) うわっ！カップが跳ねた！」,audio/phonics/L8/s15.mp3
4,8,08_beginner_tom_b4,16,Tom,トム,59.95,61.87,278.35,280.27,Whoa! The cups jump!,うわっ！カップが跳ねた！,(Tom) Whoa! The cups jump! 「(トム) うわっ！カップが跳ねた！」,audio/phonics/L8/s16.mp3
4,8,08_beginner_tom_b4,17,Cowboy Cat,カウボーイキャット,63.93,66.68,282.33,285.08,Yes. Cups jump on Funnics Island.,うん。ファニックス・アイランドではカップも跳ねるんだ。,(Cowboy Cat) Yes. Cups jump on Funnics Island. 「(カウボーイキャット) うん。ファニックス・アイランドではカップも跳ねるんだ。」,audio/phonics/L8/s17.mp3
4,8,08_beginner_tom_b4,18,Cowboy Cat,カウボーイキャット,68.95,71.94,287.35,290.34,Yes. Cups jump on Funnics Island.,うん。ファニックス・アイランドではカップも跳ねるんだ。,(Cowboy Cat) Yes. Cups jump on Funnics Island. 「(カウボーイキャット) うん。ファニックス・アイランドではカップも跳ねるんだ。」,audio/phonics/L8/s18.mp3
4,8,08_beginner_tom_b4,19,Teacher Tacos,ティーチャータコス,72.0,74.31,290.4,292.71,OK. You have a small map.,よし。きみには小さな地図があるね。,(Teacher Tacos) OK. You have a small map. 「(ティーチャータコス) よし。きみには小さな地図があるね。」,audio/phonics/L8/s19.mp3
4,8,08_beginner_tom_b4,20,Teacher Tacos,ティーチャータコス,74.37,77.67,292.77,296.07,OK. You have a small map.,よし。きみには小さな地図があるね。,(Teacher Tacos) OK. You have a small map. 「(ティーチャータコス) よし。きみには小さな地図があるね。」,audio/phonics/L8/s20.mp3
4,8,08_beginner_tom_b4,21,Tom,トム,77.95,82.48,296.35,300.88,OK. I follow the red path.,わかった。赤い道を進むよ。,(Tom) OK. I follow the red path. 「(トム) わかった。赤い道を進むよ。」,audio/phonics/L8/s21.mp3
4,8,08_beginner_tom_b4,22,Tom,トム,84.33,90.27,302.73,308.67,OK. I follow the red path.,わかった。赤い道を進むよ。,(Tom) OK. I follow the red path. 「(トム) わかった。赤い道を進むよ。」,audio/phonics/L8/s22.mp3
5,9,08_beginner_tom_b5,1,Tom,トム,0.2,9.25,313.04,322.09,"Hmm... Teacher Tacos, I am not from this island.",うーん……ティーチャータコス、ぼくはこの島の出身じゃないんだ。,"(Tom) Hmm... Teacher Tacos, I am not from this island. 「(トム) うーん……ティーチャータコス、ぼくはこの島の出身じゃないんだ。」",audio/phonics/L9/s1.mp3
5,9,08_beginner_tom_b5,2,Tom,トム,9.29,15.05,322.13,327.89,"Hmm... Teacher Tacos, I am not from this island.",うーん……ティーチャータコス、ぼくはこの島の出身じゃないんだ。,"(Tom) Hmm... Teacher Tacos, I am not from this island. 「(トム) うーん……ティーチャータコス、ぼくはこの島の出身じゃないんだ。」",audio/phonics/L9/s2.mp3
5,9,08_beginner_tom_b5,3,Teacher Tacos,ティーチャータコス,15.09,16.03,327.93,328.87,I know.,わかっているよ。,(Teacher Tacos) I know. 「(ティーチャータコス) わかっているよ。」,audio/phonics/L9/s3.mp3
5,9,08_beginner_tom_b5,4,Teacher Tacos,ティーチャータコス,16.07,17.97,328.91,330.81,I know.,わかっているよ。,(Teacher Tacos) I know. 「(ティーチャータコス) わかっているよ。」,audio/phonics/L9/s4.mp3
5,9,08_beginner_tom_b5,5,Teacher Tacos,ティーチャータコス,18.01,19.42,330.85,332.26,Don't worry.,心配しないで。,(Teacher Tacos) Don't worry. 「(ティーチャータコス) 心配しないで。」,audio/phonics/L9/s5.mp3
5,9,08_beginner_tom_b5,6,Teacher Tacos,ティーチャータコス,19.46,22.21,332.3,335.05,Don't worry.,心配しないで。,(Teacher Tacos) Don't worry. 「(ティーチャータコス) 心配しないで。」,audio/phonics/L9/s6.mp3
5,9,08_beginner_tom_b5,7,Teacher Tacos,ティーチャータコス,22.25,24.43,335.09,337.27,You are not alone.,きみは一人じゃないよ。,(Teacher Tacos) You are not alone. 「(ティーチャータコス) きみは一人じゃないよ。」,audio/phonics/L9/s7.mp3
5,9,08_beginner_tom_b5,8,Teacher Tacos,ティーチャータコス,24.47,27.74,337.31,340.58,You are not alone.,きみは一人じゃないよ。,(Teacher Tacos) You are not alone. 「(ティーチャータコス) きみは一人じゃないよ。」,audio/phonics/L9/s8.mp3
5,9,08_beginner_tom_b5,9,Tom,トム,27.78,32.33,340.62,345.17,Oh. I am not an island friend yet.,ああ。ぼくはまだ島の仲間じゃないんだね。,(Tom) Oh. I am not an island friend yet. 「(トム) ああ。ぼくはまだ島の仲間じゃないんだね。」,audio/phonics/L9/s9.mp3
5,9,08_beginner_tom_b5,10,Tom,トム,32.37,37.15,345.21,349.99,Oh. I am not an island friend yet.,ああ。ぼくはまだ島の仲間じゃないんだね。,(Tom) Oh. I am not an island friend yet. 「(トム) ああ。ぼくはまだ島の仲間じゃないんだね。」,audio/phonics/L9/s10.mp3
5,9,08_beginner_tom_b5,11,Teacher Tacos,ティーチャータコス,37.19,38.59,350.03,351.43,Not yet.,まだね。,(Teacher Tacos) Not yet. 「(ティーチャータコス) まだね。」,audio/phonics/L9/s11.mp3
5,9,08_beginner_tom_b5,12,Teacher Tacos,ティーチャータコス,38.63,41.63,351.47,354.47,Not yet.,まだね。,(Teacher Tacos) Not yet. 「(ティーチャータコス) まだね。」,audio/phonics/L9/s12.mp3
5,9,08_beginner_tom_b5,13,Teacher Tacos,ティーチャータコス,41.67,43.59,354.51,356.43,But don't worry.,でも心配しないで。,(Teacher Tacos) But don't worry. 「(ティーチャータコス) でも心配しないで。」,audio/phonics/L9/s13.mp3
5,9,08_beginner_tom_b5,14,Teacher Tacos,ティーチャータコス,43.63,46.84,356.47,359.68,But don't worry.,でも心配しないで。,(Teacher Tacos) But don't worry. 「(ティーチャータコス) でも心配しないで。」,audio/phonics/L9/s14.mp3
5,9,08_beginner_tom_b5,15,Teacher Tacos,ティーチャータコス,46.88,50.43,359.72,363.27,You are my student today.,今日はきみが私の生徒だよ。,(Teacher Tacos) You are my student today. 「(ティーチャータコス) 今日はきみが私の生徒だよ。」,audio/phonics/L9/s15.mp3
