226番。ラーメンやにはいって、こむぎこからつくられたほそながい noodle がたっぷりはいったあついしょうゆラーメンをちゅうもんした。
243番。しゅうまつはかぞくでいえから500メートルのきんじょのおおきな park にいって、おべんとうをたべながらピクニックをたのしむ。みどりのあるまちのあそびばだ。
244番。じゅぎょうのノートは、あおいろのインクがでる pen でしっかりかいている。てでもってもじをかくどうぐだ。
245番。テストのとうあんには、けしゴムでけせるHBの pencil をつかってこたえをかく。きのなかにくろいしんがはいったぶんぼうぐだ。
246番。しんじゅくえきはつうきんじかんになると、スーツすがたのかいしゃいん、がくせい、かんこうきゃくなど、なんぜんひともの people がかいさつをかよって、まいにちいそがしくいきまじっている。
247番。リビングには、わたしが5歳からならっているくろい piano がおいてあり、ほうかごに30分のれんしゅうをするのがにっかだ。
248番。くだものかりで、たくさんみのっているあかいりんごのなかから、いちばんきれいでおおきいものを1つ pick した。
249番。びじゅつのじゅぎょうで、めのまえのかびんのはなを、えのぐで1時間かけてがようしに picture をえがいた。えやしゃしんなどしかくてきなものだ。
250番。ともだちとあそぶときの place は、いつもえきまえのショッピングモールの3階のひろばときまっていて、どようのひるにしゅうごうする。
251番。ほうかご、ランドセルをおいてこうえんにちょっこうし、ゆうがたくらくなるまでともだちとおにごっこをして play した。
252番。かれはサッカーチームのキャプテンで、ピッチでいちばんボールをけるかいすうがおおい、ゆうしゅうな player だ。
253番。なつのたいいくのじゅぎょうは、がっこうの25メートルの pool にとびこんで、いきつぎをしながらクロールでおよぐれんしゅうをする。みずのたまったしかくいばしょだ。
254番。そぼへのてがみをかきおえたので、いえのちかくのあかい post にいって、きってをはったふうとうをなかにいれた。
255番。しんさくえいがのせんでんのため、えきのかべにたて1メートルのおおきな poster が10枚もはられていて、ひとびとのめをひいていた。かべにはるおおきなこうこくかみだ。
256番。ピアノコンクールのほんばんにむけて、まいにち2時間かかさずおなじきょくを practice している。
257番。わたしの13歳のたんじょうびに、りょうしんがぜんからほしかったまんがのぜんかんセットを present としてはこにつつんでわたしてくれた。おいわいにおくるものだ。
258番。すうがくのテストのさいごの problem は、ずけいとけいさんがくみあわさっていて、20分かんがえてもとけなかった。
259番。おもいにもつがのったショッピングカートを、りょうてでまえにむかってぐっと push しながら、レジまではこんだ。
260番。じゅぎょうちゅう、せんせいがかいせつしたぶぶんでわからないところがあったので、てをあげてせんせいに question をした。しりたいことをきくことばだ。
261番。でんしゃがあと2分ででてしまうので、かいさつをぬけてホームまでかいだんを quickly かけあがった。
262番。ようちえんでかっているまっしろな rabbit は、ながいみみをピンとたてて、もぐもぐとにんじんをたべていた。みみがながくはねるちいさなどうぶつだ。
263番。がっこうにちこくしそうになって、いえをでてからえきまでとまらずに5分間ぜんりょくで ran した。
264番。ねるまえにへやのベッドにはいって、としょかんでかりてきたしょうせつをまいばん30ページずつ read している。
265番。あしたのえんそくのじゅんびとして、おべんとう・すいとう・ぼうしをリュックにぜんぶつめて、しゅっぱつの ready がかんりょうした。
266番。しんごうが red にかわったので、はしっていたくるまもすべてとまって、おうだんほどうをわたるひとをまった。
267番。かぞくでがいしょくするときは、えきまえのイタリアりょうりの restaurant にいって、ピザやパスタをたべることがおおい。
268番。えいがかんでえいががはじまるまえに、ロビーにある restroom にいっててをあらってきた。こうきょうのばしょでのてあらいやようをたすへやだ。
269番。にほんじんのしょくじには、まいしょくかならずといっていいほど、しろくたいた rice がでてくる。たんぼでそだつ、おにぎりやおすしのざいりょうだ。
270番。テストでこのけいさんもんだいのこたえを「12」とかいた。せんせいに「くんのこたえは right です」といわれてまんてんだった。
