no,word,meaning
138,further,それ以上の
139,spread,広げる
140,describe,説明する、描く
141,grant,助成金、報償
142,despite,にもかかわらず
143,worth,価値のある
144,sort,種類
145,spend,過ごす
146,properly,正確に
147,facility,施設
148,expense,出費、費用
149,latest,最新の
150,remain,とどまる、残る
151,profit,利益
152,potential,潜在的な
153,issue,問題
154,million,百万
155,nearly,近く、ほとんど
156,typically,典型的に
157,toward,の方へ
158,responsibility,責任
159,agree,同意する
160,involve,関与する
161,decrease,減少する
162,improve,改善する
163,award,賞
164,upcoming,次期、次の
165,guarantee,保証する
166,destination,目的地
167,along,に沿って
168,waste,無駄に使う、ごみ
169,moment,瞬間
170,former,元の、前の
171,feature,特徴、機能
172,regarding,に関して
173,correct,正しい、修正する
174,remove,取り外す
175,reduce,削減する
176,develop,開発する
177,apply,適用する
178,transportation,交通機関
179,economy,経済
180,except,除いて
181,sincerely,誠実に、敬具
182,aspect,側面、外観
183,unit,単位
184,tax,税
185,ensure,確かにする
186,complaint,苦情
187,article,記事
188,originally,もともと
189,discovered,発見した
190,sufficient,十分な
191,nevertheless,にもかかわらず
192,apologize,謝罪する
193,laptop,ノートパソコン
194,delay,遅延する、遅延
195,express,表現する
196,beyond,を超えて
197,valuable,貴重な
198,pier,桟橋
199,difference,差、違い
200,terrible,ひどい
201,appropriate,適切な
202,individual,個々の
203,vote,投票、投票する
204,law,法
205,political,政治の
206,prefer,好む
207,firm,固い
208,labor,労働
209,method,方法
210,cancer,癌
211,proposal,提案
212,unable,できない
213,promote,推進する、昇進する
214,statement,声明
215,comfort,快適さ
216,via,～経由で
217,remind,思い出させる
218,institution,機関
219,subject,主題
220,temperature,温度
221,microwave,電子レンジ
222,odor,臭い
223,climate,気候
224,fail,失敗する
225,resident,住民
226,capable,容量のある
227,gather,集まる
228,growth,成長
229,electronic,電子
230,inform,知らせる
231,demand,需要
232,obtain,保つ
233,unusual,珍しい
234,opportunity,機会
235,author,著者
236,consequently,結果的に
237,association,協会
238,transfer,転送する、乗り換える
239,committee,委員会
240,eventually,最終的に
241,responsible,責任のある
242,device,機器、装置
243,recall,呼び戻す
244,approval,承認
245,comfortable,快適な
246,confident,自信のある
247,administrative,行政の
248,concern,懸案する
249,apparently,一見すると
250,registration,登録
251,electricity,電気
252,enclosed,同封された
253,crowded,混雑した
254,eligible,資格のある
255,attempt,試みる
256,useful,役に立つ
257,sight,景色
258,soil,土壌
259,participate,参加する
260,confidential,機密の
261,absolutely,確実に
262,inventory,在庫
263,inexpensive,安価な
264,otherwise,そうでなければ
265,proper,適切な
266,secretarｙ,秘書
267,educational,教育の
268,reliable,信頼できる
269,quarterly,四半期
270,efficiently,効率的に
271,encourage,奨励する
272,exclusively,排他的な
273,reduction,削減
274,sentence,文
275,disagree,反対する
276,degree,角度、温度
277,lawyer,弁護士
278,luggage,荷物
279,object,物、目的
280,haven,避難所
281,frank,率直な
282,disaster,災害
283,profitable,収益のある
284,indicate,を示す
285,respect,尊重する
286,extension,拡張
287,reasonable,合理的な
288,roast,焙る
289,contain,を含む
290,operate,操作する
291,depend,頼る
292,bound,～行きの
293,classical,古典的な
294,authority,権限
295,chemical,化学の
296,agenda,議題
297,earthquake,地震
298,vet,獣医
299,approach,近づく
300,technician,技術者
301,attendant,主席者
302,subscription,処方箋、定期購読
303,accept,受け入れる
304,automated,自動化した
305,attached,付属の
306,complex,複雑な
307,candidate,候補者
308,edge,端
309,departure,出発
310,duty,職務、義務
311,attendance,出席
312,attitude,態度
313,distribute,配布する
314,effort,努力
315,brain,脳
316,ban,禁止する、禁止
317,confused,混乱した
318,congress,会議
319,employment,雇用
320,refer,参照する
321,honor,名誉
322,renovation,改装
323,excuse,言い訳
324,essentially,本質的に
325,moreover,さらに
326,obvious,明白な
327,immediate,即時の
328,permission,許可
329,reputation,評判
330,hygiene,衛生
331,initially,最初に
332,optimum,最適
333,initial,初期の
334,identify,識別する
335,establish,設立する
336,illegal,違法の
337,replace,交換する
338,receptionist,受付
339,expire,有効期限の切れた
340,manufacturer,製造者
341,evidence,証拠
342,recommend,お勧めする
343,replacement,交換
344,satisfied,満足した
345,content,内容
346,disappointed,がっかりした
347,worse,より悪い
348,assess,評価する
349,applause,拍手、賞賛
350,surface,表面
351,commercially,商業的に
352,decline,減少する、傾く
353,unlike,とは違って
354,accountant,会計士
355,supply,供給する
356,species,種、種族
357,compensation,補償
358,sweep,掃除する、掃く
359,sick,病気の
360,comply,準拠する
361,solve,解決する
362,specification,仕様
363,completion,完了
364,vice president,副社長
365,closely,密接に
366,convention,大会
367,determine,決心する
368,status,地位、状態
369,authorized,承認した
370,exclusive,排他的な
371,influence,影響
372,impressive,印象的な
373,popularity,人気
374,fault,失敗
375,funding,資金調達
376,incredible,信じられない
377,installation,導入
378,psychological,心理的な
379,intent,意図、意向
380,occur,発生する
381,qualified,資格を与えた
382,practice,練習する
383,portion,部分
384,frequent,頻繁に
385,merely,単に
386,latter,後者
387,failure,故障、失敗
388,prime,主な
389,innovative,革新的な
390,exist,存在する
391,favorable,好ましい
392,instance,衝動
393,archive,保管所
394,aquarium,水族館
395,rude,失礼な
396,sadly,悲しそうに
397,secretarial,秘書の
398,valid,有効な
399,altogether,完全に
400,rarely,めったに～ない
401,suppose,仮定する、思う
402,science,科学
403,adopt,適用する
404,accurately,正確に
405,traditional,伝統的な
406,appreciate,感謝する
407,aisle,通路
408,atmosphere,雰囲気
409,somewhat,やや、幾分か
410,rid,取り除く
411,whatever,何でも
412,certificate,証明書
413,fuel,燃料
414,embarrassed,恥ずかしい
415,enthusiasm,熱意
416,competitive,競争力のある
417,grand,大きな
418,doubt,疑問を持つ
419,formal,形式の
420,empty,空の
421,explanation,説明
422,concerning,に関して
423,habit,習慣
424,considering,検討している
425,detailed,詳細の
426,equipped,装備した
427,estimated,見積もった
428,equivalent,等価の
429,guess,推測する、推測
430,conscious,意識のある
431,chairman,会長
432,defect,欠陥
433,fiction,創作
434,deliberately,故意に
435,establishment,設立
436,concession,譲歩
437,division,部門
438,demonstrate,実証する
439,extreme,極端な
440,everywhere,至る所に
441,enterprise,企業
442,chairperson,委員長
443,elderly,高齢の
444,dedicated,捧げた
445,discover,発見する
446,imperial,帝国の
447,productivity,生産性
448,recommended,推奨した
449,performed,実行した
450,objective,目標、目的
451,recommendation,推薦
452,mathematics,数学
453,procedure,手続き
454,patient,患者
455,layer,層
456,investor,投資家
457,improvement,改善
458,instrument,楽器、機器
459,invention,発明
460,itinerary,旅程、旅程表
461,recognition,認識
462,investment,投資
463,luxury,豪華な
464,personnel,人事
465,overseas,海外の、海外へ
466,rainforest,熱帯雨林
467,sensitive,敏感な
468,secure,安全な
469,invest,投資する
470,negotiation,交渉
471,option,選択
472,mayor,市長
473,merchandise,商品
474,retain,保持する
475,afford,買う余裕のある
476,admit,認める
477,warehouse,倉庫
478,barely,辛うじて
479,surplus,余剰
480,appliance,家電
481,actual,実際の
482,wage,賃金
483,subway,地下鉄
484,steel,鋼鉄
485,apart,離れた
486,vary,異なる、変わる
487,thousands,何千もの
488,structure,構造
489,supervise,監督する
490,survive,生き残る
491,agreement,合意
492,significant,重要な
493,supervisor,上司
494,unfortunately,不運にも
495,accommodation,宿泊施設
496,bend,曲げる
497,toxic,有毒な
498,assumption,仮定
499,anticipate,期待する
500,urgent,緊急の
501,tremendous,驚異的な
502,capstone,絶頂、最高益
503,conclusion,結論
504,employ,採用する、雇う
505,era,時代
506,earn,お金を稼ぐ
507,cooperation,協力
508,extracted,抽出した
509,firsthand,じかに
510,exhibit,展示する
511,donate,寄付する
512,disease,病気
513,frequently,頻繁に
514,enormous,巨大な
515,carbon,炭素
516,gained,獲得した
517,fascinating,魅惑的な
518,encouraged,奨励した
519,foster,養育する
520,clientele,顧客、常連
521,destructive,破壊的な
522,cargo,貨物
523,CEO,代表取締役
524,expand,拡大する
525,evaluation,評価
526,custom,風習
527,evolution,進化
528,directions,方向
529,considerable,かなりの
530,consult,相談する
531,dynasty,王朝
532,contribution,貢献
533,employer,雇用者
534,foam,泡
535,flood,洪水
536,odd,変わった、奇妙な
537,obviously,明らかに
538,patent,特許
539,medieval,中世の
540,inadvertently,うっかり
541,persuade,説得する
542,malfunctioning,誤動作
543,invoice,請求書、送り状
544,illness,病気
545,gladiator,闘技者
546,infect,感染する
547,logical,論理的な
548,medicine,薬
549,physical,物理的な、身体的な
550,landfill,埋め立て
551,ideal,理想的な
552,massive,大規模な
553,necessarily,必ずしも
554,inconvenience,不便さ
555,obsession,強迫観念
556,patron,常連客
557,opposite,反対の
558,maintain,維持する
559,party,政党
560,innocent,罪のない
561,grateful,感謝して
562,incorrect,不正解
563,granger,農業労働者
564,outcome,結果
565,plaque,斑点
566,namely,すなわち
567,observe,観察する
568,reject,拒否する
569,subscribe,購読する
570,settlement,移住
571,thorough,徹底した
572,property,財産
573,slight,わずかな
574,till,まで
575,proof,証拠
576,solid,固い
577,replicate,複製する
578,reference,参照
579,strictly,厳密に
580,square,四角形
581,scheme,計画
582,relative,親類の
583,remedy,救済策、治療
584,temporary,一時的な
585,thereby,それによって
586,regret,後悔する
587,sightseeing,観光
588,slightly,わずかに
589,principal,主要な、主な
590,prompt,即座の、素早い
591,reimbursement,償還
592,restriction,制限
593,substitute,代替する
594,raw,生の
595,strategy,戦略
596,ridiculous,ばかげた
597,remaining,残り
598,postpone,延期する
599,accomplish,達成する
600,calculate,計算する
601,architectural,建築の
602,assignment,宿題、割り当て
603,belief,信念
604,underlying,根底にある
605,valley,谷
606,trustee,管財人
607,aside,脇、横
608,arid,乾燥した
609,ambulance,救急車
610,upset,ひっくり返る、驚く
611,visible,目に見える
612,capability,容量、能力
613,utilize,活用する
614,usher,案内係
615,adversely,逆に、反対に
616,agriculture,農業
617,accidentally,誤って
618,bankrupt,破産した、破産
619,achieve,達成する
620,adequate,十分な
621,arrangement,手配
622,billion,十億
623,aware,気付いている
624,authorization,承認
625,applicant,出願人
626,broadcast,放送
627,aptitude,適性
628,interview,面接
629,annual,年間の
630,participant,参加者
631,council,議会
632,per,～につき
633,intend,～するつもりである
634,complimentary,無料の、賞賛の、敬意を表する
635,contemporary,現代の、近代の
636,inspection,検査、視察
637,grocery,食料品
638,invitation,招待
639,realize,わかる、実現する
640,quantity,数、数量
641,branch,支店
642,multiple,複数の
643,inquire,尋ねる
644,ingredient,材料
645,revenue,収益
646,term,期間、専門用語
647,impress,印象を与える
648,acknowledge,認める
649,landscape,景色
650,initiative,主導権
651,accommodate,収容する
652,vendor,供給者
653,consumer,消費者
654,convenient,便利な
655,previous,以前の
656,extend,延長する
657,therefore,したがって、だから
658,either,いずれか、どちらか
659,permit,許可証/許可する
660,verify,確認する
661,enclose,同封する
662,neighborhood,近所
663,prescription,処方箋
664,eatery,食事場所
665,definitely,間違いなく
666,affordable,値段が手頃な
667,directory,名簿
668,impact,影響、影響する
669,whenever,する時はいつでも
670,adjust,調整する、合わせる
671,relevant,関連のある
672,cuisine,料理
673,yield,産出する
674,autograph,著名人のサイン
675,enroll,入学する
676,digest,消化する
677,achievement,達成
678,decade,10年間
679,owe,借りている
680,practical,実践的な
681,undergo,経験する
682,outstanding,傑出した/未払いの
683,satisfaction,満足
684,auditorium,講堂
685,recipient,受取人
686,efficiency,効率
687,ladder,はしご
688,durable,耐久性のある
689,merger,合併
690,stack,積み重ねる
691,qualify,資格を与える
692,constant,絶え間なく続く
693,shortly,まもなく
694,municipal,市政の
695,comprehensive,包括的な
696,enhance,強調する
697,premise,前提、根拠
698,conclude,結論付ける
699,likewise,同様に
700,enlarge,拡大する
701,fluctuate,変動する
702,consecutive,連続した
703,meanwhile,一方で
704,prevent,事前に防ぐ
705,import,輸入、輸入する
706,fortunate,幸運な
707,urgency,緊急性
708,proficiency,熟練性
709,sustain,保持する
710,transcript,複写
711,overcome,克服する
712,utility,効用
713,whereas,にもかかわらず
714,income,収入
715,vacancy,空きのある
716,mere,単に
717,competence,能力、適性
718,insight,洞察
719,discontinue,やめる、中止する
720,precise,正確な
721,crucial,重要な
722,reluctant,しぶしぶの
723,perceive,知覚する、認める
724,controversial,議論のある
725,fundamental,基本的な
726,gradually,だんだんと、徐々に
727,domestic,国内の
728,complicated,複雑な
729,reimburse,払戻す
730,absence,欠席
731,shortage,欠品
732,landlord,大家、地主
